"","SCIENTIFIC_NAME","mean_SSI"
"206","Carex tenera",1.532992049922
"207","Carex tenuiflora",0.983145628853727
"209","Carex trisperma",1.04970776618536
"210","Carex utriculata",0.427544716461523
"211","Carex vaginata",0.794066240782352
"212","Carex viridula",1.74286995461399
"213","Carum carvi",0.835755744477569
"214","Cassiope tetragona",2.82423156230462
"216","Castilleja miniata",0.925096515951986
"217","Castilleja occidentalis",2.71303183303551
"218","Castilleja raupii",1.36723064669349
"219","Cerastium arvense",0.795370063767961
"220","Cerastium fontanum",0.764731923919928
"221","Cerastium nutans",1.24383167110676
"222","Ceratophyllum demersum",0.248943496357473
"224","Chamaedaphne calyculata",1.36681524320373
"225","Chamaerhodos erecta",2.70880221856616
"226","Chamerion angustifolium",0.345483148059131
"227","Chenopodium album",0.760513704334773
"229","Chenopodium capitatum",1.07904870395375
"230","Chenopodium fremontii",1.29055902825854
"231","Chenopodium glaucum",0.727593921164878
"232","Chenopodium pratericola",1.36801503579931
"233","Chenopodium rubrum",0.997400956570609
"236","Chrysosplenium iowense",1.59245047309241
"237","Chrysosplenium tetrandrum",0.882135004056411
"239","Cicuta bulbifera",0.902453068457215
"240","Cicuta maculata",0.437441424067174
"241","Cicuta virosa",3.04423040880721
"242","Cinna latifolia",2.40265218359208
"243","Circaea alpina",0.797006275681275
"244","Cirsium arvense",0.522709822298593
"246","Cirsium flodmanii",1.0541138955471
"247","Cirsium undulatum",0.965645288927557
"248","Cirsium vulgare",0.8721425738226
"250","Collomia linearis",1.19024904289561
"251","Comandra umbellata",0.52445338366252
"252","Comarum palustre",0.877736701239338
"253","Convolvulus arvensis",1.71784822765244
"254","Conyza canadensis",0.793214524913435
"255","Coptis trifolia",1.74381185307888
"256","Corallorhiza maculata",1.37849846288326
"257","Corallorhiza striata",1.4992769134836
"258","Corallorhiza trifida",1.6196533660075
"259","Cornus canadensis",0.51279698085431
"260","Cornus sericea",0.38020124486831
"261","Corydalis aurea",1.83173711697862
"262","Corydalis sempervirens",2.0526285184582
"263","Corylus cornuta",1.19850184288172
"266","Crepis runcinata",2.80412474899223
"267","Crepis tectorum",0.612789084277236
"268","Cryptogramma acrostichoides",3.16227766016838
"270","Cypripedium parviflorum",2.78841236533873
"271","Cypripedium passerinum",1.96857130526451
"273","Dactylis glomerata",1.02969790808017
"274","Dactylorhiza viridis",1.35639257317107
"275","Dalea purpurea",2.63699115957207
"276","Danthonia intermedia",1.57096705645613
"278","Dasiphora fruticosa",0.959970528205738
"280","Delphinium glaucum",0.814415121912743
"281","Deschampsia cespitosa",0.404935919194347
"283","Descurainia sophia",1.10102476283339
"285","Diphasiastrum complanatum",1.41925953360384
"286","Distichlis spicata",0.643366401283016
"288","Dracocephalum parviflorum",1.08878887104158
