"Latitude","Longitude","NRNAME","Protocol","WetlandType","WSite","Site","Year","Species","PA"
51.412235,-112.587357,"Grassland","Terrestrial","Marsh","1411","1411",2012,"Brassica napus",1
51.21452,-111.136772,"Grassland","Terrestrial","Marsh","1416","1416",2014,"Selaginella densa",1
51.179108,-110.888245,"Grassland","Terrestrial","Marsh","1417","1417",2012,"Lepidium densiflorum",1
51.113495,-110.340263,"Grassland","Terrestrial","Marsh","1419","1419",2012,"Thlaspi arvense",1
51.459274,-114.296379,"Parkland","Terrestrial","Wet Meadow","1428","1428",2016,"Erysimum cheiranthoides",1
51.373363,-114.022156,"Grassland","Terrestrial","Wet Meadow","1429","1429",2016,"Brassica napus",1
51.230656,-112.634445,"Grassland","Terrestrial","Wet Meadow","1434","1434",2015,"Erysimum inconspicuum",1
51.225536,-112.269989,"Grassland","Terrestrial","Marsh","1435","1435",2015,"Linum lewisii",1
51.101788,-111.487175,"Grassland","Terrestrial","Marsh","1438","1438",2013,"Selaginella densa",1
51.026218,-111.178215,"Grassland","Terrestrial","Marsh","1439","1439",2013,"Selaginella densa",1
50.87767,-110.086479,"Grassland","Terrestrial","Wet Meadow","1443","1443",2016,"Euphorbia serpyllifolia",1
51.242962,-114.37545,"Parkland","Terrestrial","Marsh","1450","1450",2016,"Symphoricarpos occidentalis",1
51.203373,-114.092514,"Grassland","Terrestrial","Marsh","1451","1451",2016,"Symphoricarpos occidentalis",1
51.183567,-113.851097,"Grassland","Terrestrial","Marsh","1452","1452",2010,"Brassica napus",1
51.183567,-113.851097,"Grassland","Terrestrial","Wet Meadow","1452B","1452B",2016,"Chenopodium glaucum",1
51.08305,-112.906815,"Grassland","Terrestrial","Marsh","1455","1455",2014,"Brassica napus",1
50.953686,-111.546654,"Grassland","Terrestrial","Marsh","1460","1460",2013,"Rosa woodsii",1
51.035999,-114.128944,"Parkland","Terrestrial","Marsh","1472","1472",2016,"Capsella bursa-pastoris",1
51.047684,-113.795387,"Grassland","Terrestrial","Marsh","1473","1473",2016,"Persicaria amphibia",1
50.964474,-113.316635,"Grassland","Terrestrial","Marsh","1475","1475",2014,"Rumex crispus",1
50.562279,-110.20327,"Grassland","Terrestrial","Wet Meadow","1486","1486",2016,"Descurainia sophia",1
58.861977,-111.826012,"Boreal","Terrestrial","Marsh","149","149",2010,"Lemna turionifera",1
50.91288,-114.430405,"Rocky Mountain","Terrestrial","Wet Meadow","1491","1491",2015,"Mertensia paniculata",1
50.876835,-114.148911,"Parkland","Terrestrial","Wet Meadow","1492","1492",2015,"Equisetum arvense",1
59.783936,-111.907753,"Boreal","Terrestrial","Wet Meadow","15","15",2016,"Symphoricarpos albus",1
58.822025,-111.529236,"Canadian Shield","Terrestrial","Marsh","150","150",2010,"Scutellaria galericulata",1
50.486595,-111.091148,"Grassland","Terrestrial","Marsh","1503","1503",2014,"Selaginella densa",1
50.443134,-110.786758,"Grassland","Terrestrial","Marsh","1504","1504",2014,"Polygonum aviculare",1
50.380306,-110.307625,"Grassland","Terrestrial","Marsh","1506","1506",2015,"Descurainia sophia",1
58.768562,-111.240944,"Boreal","Terrestrial","Swamp","151","151",2010,"Lathyrus ochroleucus",1
50.704277,-114.488518,"Rocky Mountain","Terrestrial","Rich Fen","1510","1510",2015,"Carex atratiformis",1
50.635616,-113.946289,"Grassland","Terrestrial","Marsh","1512","1512",2015,"Brassica napus",1
50.551044,-114.469887,"Rocky Mountain","Terrestrial","Rich Fen","1529","1529",2015,"Mertensia paniculata",1
50.260353,-112.086037,"Grassland","Terrestrial","Marsh","1538","1538",2016,"Descurainia sophia",1
50.221924,-111.808769,"Grassland","Terrestrial","Marsh","1539","1539",2016,"Descurainia sophia",1
58.704395,-110.185188,"Boreal","Terrestrial","Poor Fen","154","154",2013,"Rhododendron groenlandicum",1
50.018612,-110.142075,"Grassland","Terrestrial","Marsh","1545","1545",2015,"Brassica napus",1
49.960526,-111.218658,"Grassland","Terrestrial","Marsh","1559","1559",2013,"Fallopia convolvulus",1
49.918877,-111.014114,"Grassland","Terrestrial","Marsh","1560","1560",2013,"Avena fatua",1
50.081772,-113.789474,"Grassland","Terrestrial","Wet Meadow","1567","1567",2016,"Selaginella densa",1
59.255928,-119.221596,"Boreal","Terrestrial","Bog","157","157",2014,"Equisetum arvense",1
59.227409,-118.438774,"Boreal","Terrestrial","Bog","159","159",2014,"Equisetum scirpoides",1
49.562969,-110.831818,"Grassland","Terrestrial","Wet Meadow","1595","1595",2016,"Rumex crispus",1
49.584583,-112.235481,"Grassland","Terrestrial","Marsh","1607","1607",2012,"Fallopia convolvulus",1
49.447514,-113.165291,"Grassland","Terrestrial","Marsh","1621","1621",2013,"Brassica napus",1
49.380474,-112.554527,"Grassland","Terrestrial","Marsh","1623","1623",2013,"Brassica napus",1
59.105827,-117.153389,"Boreal","Terrestrial","Bog","163","163",2012,"Drosera rotundifolia",1
49.100117,-110.425667,"Grassland","Terrestrial","Marsh","1631","1631",2014,"Selaginella densa",1
49.305336,-113.153824,"Grassland","Terrestrial","Marsh","1638","1638",2013,"Chenopodium glaucum",1
59.125423,-116.707664,"Boreal","Terrestrial","Bog","164","164",2012,"Rubus chamaemorus",1
49.201641,-112.407562,"Grassland","Terrestrial","Marsh","1641","1641",2012,"Rumex crispus",1
49.061848,-111.235756,"Grassland","Terrestrial","Wet Meadow","1645","1645",2016,"Descurainia sophia",1
59.085716,-116.429916,"Boreal","Terrestrial","Bog","165","165",2012,"Equisetum sylvaticum",1
49.126488,-113.182915,"Grassland","Terrestrial","Marsh","1651","1651",2016,"Capsella bursa-pastoris",1
49.045753,-112.432732,"Grassland","Terrestrial","Marsh","1654","1654",2014,"Selaginella densa",1
59.700066,-111.143211,"Canadian Shield","Terrestrial","Bog","17","17",2013,"Linnaea borealis",1
58.667915,-111.615341,"Boreal","Terrestrial","Marsh","179","179",2010,"Rorippa palustris",1
59.662022,-110.840218,"Canadian Shield","Terrestrial","Bog","18","18",2013,"Equisetum fluviatile",1
58.592373,-111.314796,"Boreal","Terrestrial","Marsh","180","180",2010,"Lemna trisulca",1
58.554272,-110.968216,"Boreal","Terrestrial","Marsh","181","181",2013,"Persicaria amphibia",1
58.5611,-110.643715,"Boreal","Terrestrial","Bog","182","182",2013,"Equisetum sylvaticum",1
59.08355,-119.146049,"Boreal","Terrestrial","Bog","186","186",2014,"Equisetum arvense",1
59.057106,-118.481262,"Boreal","Terrestrial","Marsh","188","188",2014,"Rumex occidentalis",1
59.607685,-110.419456,"Canadian Shield","Terrestrial","Poor Fen","19","19",2013,"Equisetum fluviatile",1
58.978397,-117.153389,"Boreal","Terrestrial","Bog","192","192",2012,"Equisetum scirpoides",1
58.901939,-116.75296,"Boreal","Terrestrial","Swamp","193","193",2012,"Equisetum arvense",1
58.878773,-116.427071,"Boreal","Terrestrial","Bog","194","194",2013,"Equisetum scirpoides",1
58.485924,-111.694931,"Boreal","Terrestrial","Marsh","208","208",2010,"Equisetum arvense",1
58.441406,-111.346474,"Boreal","Terrestrial","Swamp","209","209",2010,"Persicaria lapathifolia",1
58.363522,-110.99514,"Boreal","Terrestrial","Marsh","210","210",2013,"Equisetum arvense",1
58.3046,-110.380775,"Boreal","Terrestrial","Bog","212","212",2013,"Myrica gale",1
58.28754,-110.057426,"Boreal","Terrestrial","Bog","213","213",2013,"Linnaea borealis",1
58.868587,-119.264351,"Boreal","Terrestrial","Bog","216","216",2007,"Equisetum arvense",1
58.699387,-116.201263,"Boreal","Terrestrial","Bog","225","225",2014,"Equisetum arvense",1
58.645638,-115.816162,"Boreal","Terrestrial","Marsh","226","226",2014,"Equisetum arvense",1
58.644566,-115.501228,"Boreal","Terrestrial","Swamp","227","227",2014,"Equisetum arvense",1
58.433887,-113.473282,"Boreal","Terrestrial","Poor Fen","233","233",2013,"Equisetum fluviatile",1
58.418022,-113.046516,"Boreal","Terrestrial","Poor Fen","234","234",2016,"Equisetum fluviatile",1
58.367569,-112.757271,"Boreal","Terrestrial","Wet Meadow","235","235",2016,"Equisetum fluviatile",1
58.374332,-112.436066,"Boreal","Terrestrial","Bog","236","236",2016,"Lycopodium annotinum",1
58.276688,-111.740158,"Boreal","Terrestrial","Bog","238","238",2013,"Equisetum fluviatile",1
58.161541,-110.711548,"Boreal","Terrestrial","Poor Fen","241","241",2012,"Myrica gale",1
58.15395,-110.411049,"Boreal","Terrestrial","Poor Fen","242","242",2012,"Betula papyrifera",1
58.142788,-110.090385,"Boreal","Terrestrial","Poor Fen","243","243",2014,"Lycopodium lagopus",1
58.639572,-118.591812,"Boreal","Terrestrial","Bog","248","248",2007,"Myrica gale",1
58.544712,-116.205025,"Boreal","Terrestrial","Swamp","255","255",2014,"Equisetum arvense",1
58.375652,-114.116852,"Boreal","Terrestrial","Poor Fen","261","261",2013,"Equisetum scirpoides",1
58.348625,-113.829971,"Boreal","Terrestrial","Poor Fen","262","262",2013,"Equisetum fluviatile",1
58.288086,-113.508781,"Boreal","Terrestrial","Marsh","263","263",2013,"Equisetum pratense",1
58.253811,-113.129601,"Boreal","Terrestrial","Poor Fen","264","264",2016,"Equisetum scirpoides",1
58.205688,-112.512741,"Boreal","Terrestrial","Bog","266","266",2016,"Rhododendron tomentosum",1
58.141891,-111.783432,"Boreal","Terrestrial","Poor Fen","268","268",2013,"Equisetum fluviatile",1
58.078594,-111.46656,"Boreal","Terrestrial","Poor Fen","269","269",2013,"Equisetum fluviatile",1
58.021748,-111.160591,"Boreal","Terrestrial","Rich Fen","270","270",2012,"Equisetum palustre",1
57.993595,-110.466278,"Boreal","Terrestrial","Wet Meadow","272","272",2012,"Dracocephalum parviflorum",1
57.918251,-110.16404,"Boreal","Terrestrial","Poor Fen","273","273",2014,"Rhododendron groenlandicum",1
58.522884,-118.900536,"Boreal","Terrestrial","Bog","277","277",2007,"Equisetum arvense",1
58.492947,-118.629051,"Boreal","Terrestrial","Poor Fen","278","278",2007,"Calla palustris",1
58.311996,-115.564857,"Boreal","Terrestrial","Swamp","287","287",2014,"Equisetum arvense",1
58.184917,-114.234863,"Boreal","Terrestrial","Swamp","291","291",2013,"Equisetum scirpoides",1
58.147423,-113.858948,"Boreal","Terrestrial","Poor Fen","292","292",2013,"Equisetum scirpoides",1
58.088268,-113.233276,"Boreal","Terrestrial","Swamp","294","294",2016,"Lycopodium annotinum",1
58.055161,-112.838333,"Boreal","Terrestrial","Poor Fen","295","295",2016,"Equisetum sylvaticum",1
57.98127,-112.561646,"Boreal","Terrestrial","Poor Fen","296","296",2016,"Rhododendron groenlandicum",1
57.949032,-112.23436,"Boreal","Terrestrial","Poor Fen","297","297",2013,"Lycopodium annotinum",1
57.974468,-111.857712,"Boreal","Terrestrial","Bog","298","298",2013,"Lycopodium annotinum",1
57.914551,-111.574265,"Boreal","Terrestrial","Poor Fen","299","299",2013,"Lycopodium dendroideum",1
57.819054,-110.839073,"Boreal","Terrestrial","Poor Fen","301","301",2012,"Rhododendron tomentosum",1
57.803822,-110.653053,"Boreal","Terrestrial","Rich Fen","302","302",2012,"Linnaea borealis",1
58.116947,-115.983871,"Boreal","Terrestrial","Marsh","315","315",2008,"Equisetum arvense",1
58.078323,-115.619331,"Boreal","Terrestrial","Poor Fen","316","316",2008,"Carex utriculata",1
59.677498,-112.604416,"Boreal","Terrestrial","Rich Fen","32","32",2016,"Equisetum arvense",1
57.931255,-113.273994,"Boreal","Terrestrial","Bog","323","323",2016,"Rhododendron tomentosum",1
57.876133,-113.004417,"Boreal","Terrestrial","Bog","324","324",2016,"Drosera rotundifolia",1
57.861206,-112.580597,"Boreal","Terrestrial","Bog","325","325",2016,"Rhododendron groenlandicum",1
57.810936,-112.311165,"Boreal","Terrestrial","Bog","326","326",2014,"Equisetum arvense",1
57.788807,-111.969208,"Boreal","Terrestrial","Bog","327","327",2014,"Equisetum arvense",1
57.668869,-111.269035,"Boreal","Terrestrial","Poor Fen","329","329",2015,"Lycopodium dendroideum",1
57.668617,-110.962219,"Boreal","Terrestrial","Poor Fen","330","330",2015,"Equisetum sylvaticum",1
57.633213,-110.613266,"Boreal","Terrestrial","Poor Fen","331","331",2015,"Lycopodium annotinum",1
57.578438,-110.360809,"Boreal","Terrestrial","Bog","332","332",2013,"Lycopodium annotinum",1
59.56572,-111.939857,"Boreal","Terrestrial","Marsh","34","34",2016,"Equisetum fluviatile",1
59.557568,-111.631203,"Boreal","Terrestrial","Swamp","35","35",2013,"Calamagrostis stricta",1
57.713856,-113.323944,"Boreal","Terrestrial","Poor Fen","352","352",2016,"Equisetum sylvaticum",1
57.68264,-112.992203,"Boreal","Terrestrial","Poor Fen","353","353",2016,"Lycopodium annotinum",1
57.685524,-112.631378,"Boreal","Terrestrial","Bog","354","354",2016,"Rhododendron tomentosum",1
57.605453,-112.314194,"Boreal","Terrestrial","Poor Fen","355","355",2014,"Equisetum scirpoides",1
57.571739,-112.023201,"Boreal","Terrestrial","Poor Fen","356","356",2014,"Lycopodium annotinum",1
57.497894,-111.375656,"Boreal","Terrestrial","Poor Fen","358","358",2015,"Equisetum sylvaticum",1
57.454884,-111.054222,"Boreal","Terrestrial","Poor Fen","359","359",2015,"Equisetum scirpoides",1
57.468082,-110.709099,"Boreal","Terrestrial","Poor Fen","360","360",2015,"Equisetum fluviatile",1
57.375259,-110.357719,"Boreal","Terrestrial","Bog","361","361",2013,"Equisetum sylvaticum",1
57.377434,-110.07328,"Boreal","Terrestrial","Poor Fen","362","362",2013,"Linnaea borealis",1
57.790741,-116.011223,"Boreal","Terrestrial","Poor Fen","374","374",2008,"Salix bebbiana",1
59.464947,-110.522453,"Canadian Shield","Terrestrial","Bog","38","38",2013,"Equisetum sylvaticum",1
57.568283,-113.389854,"Boreal","Terrestrial","Wet Meadow","382","382",2016,"Equisetum sylvaticum",1
57.537735,-113.120346,"Boreal","Terrestrial","Rich Fen","383","383",2016,"Lycopodium annotinum",1
57.482895,-112.775536,"Boreal","Terrestrial","Rich Fen","384","384",2016,"Equisetum sylvaticum",1
57.479927,-112.38398,"Boreal","Terrestrial","Poor Fen","385","385",2014,"Rhododendron groenlandicum",1
57.372757,-111.760498,"Boreal","Terrestrial","Bog","387","387",2014,"Equisetum scirpoides",1
57.341125,-111.48172,"Boreal","Terrestrial","Poor Fen","388","388",2007,"Equisetum scirpoides",1
57.299912,-111.113747,"Boreal","Terrestrial","Poor Fen","389","389",2015,"Equisetum arvense",1
59.395153,-110.222572,"Canadian Shield","Terrestrial","Bog","39","39",2013,"Equisetum fluviatile",1
57.268986,-110.721565,"Boreal","Terrestrial","Bog","390","390",2015,"Equisetum sylvaticum",1
57.260525,-110.455292,"Boreal","Terrestrial","Bog","391","391",2013,"Lycopodium annotinum",1
57.174755,-110.14296,"Boreal","Terrestrial","Poor Fen","392","392",2013,"Rhododendron groenlandicum",1
57.733917,-118.379807,"Boreal","Terrestrial","Swamp","397","397",2012,"Lycopodium annotinum",1
59.919476,-111.43428,"Canadian Shield","Terrestrial","Bog","4","4",2013,"Cryptogramma acrostichoides",1
59.992634,-119.732986,"Boreal","Terrestrial","Poor Fen","40","40",2014,"Rhododendron tomentosum",1
57.508667,-115.175079,"Boreal","Terrestrial","Bog","407","407",2013,"Equisetum arvense",1
57.492027,-114.845024,"Boreal","Terrestrial","Bog","408","408",2013,"Lycopodium annotinum",1
59.946846,-119.345093,"Boreal","Terrestrial","Bog","41","41",2014,"Equisetum arvense",1
57.38126,-113.492157,"Boreal","Terrestrial","Bog","412","412",2015,"Equisetum scirpoides",1
57.323273,-113.110275,"Boreal","Terrestrial","Poor Fen","413","413",2015,"Lycopodium annotinum",1
57.294983,-112.846794,"Boreal","Terrestrial","Bog","414","414",2015,"Equisetum scirpoides",1
57.246872,-112.510162,"Boreal","Terrestrial","Bog","415","415",2013,"Lycopodium annotinum",1
57.194435,-111.831306,"Boreal","Terrestrial","Marsh","417","417",2013,"Lycopodium annotinum",1
57.196716,-111.562981,"Boreal","Terrestrial","Poor Fen","418","418",2013,"Myrica gale",1
57.150703,-111.222115,"Boreal","Terrestrial","Bog","419","419",2013,"Equisetum arvense",1
57.12814,-110.874931,"Boreal","Terrestrial","Bog","420","420",2013,"Equisetum arvense",1
57.056065,-110.574104,"Boreal","Terrestrial","Bog","421","421",2013,"Equisetum sylvaticum",1
57.572441,-118.473648,"Boreal","Terrestrial","Bog","427","427",2012,"Lycopodium annotinum",1
57.399391,-115.440613,"Boreal","Terrestrial","Poor Fen","436","436",2013,"Equisetum scirpoides",1
57.338673,-115.147408,"Boreal","Terrestrial","Bog","437","437",2013,"Equisetum arvense",1
57.335743,-114.848801,"Boreal","Terrestrial","Bog","438","438",2013,"Equisetum arvense",1
57.134647,-113.191315,"Boreal","Terrestrial","Poor Fen","443","443",2015,"Equisetum scirpoides",1
57.164497,-112.87368,"Boreal","Terrestrial","Bog","444","444",2015,"Rhododendron groenlandicum",1
57.059208,-112.259789,"Boreal","Terrestrial","Bog","446","446",2013,"Equisetum arvense",1
56.976021,-111.28054,"Boreal","Terrestrial","Bog","449","449",2013,"Equisetum arvense",1
56.909969,-110.963531,"Boreal","Terrestrial","Bog","450","450",2013,"Equisetum fluviatile",1
56.852806,-110.575729,"Boreal","Terrestrial","Poor Fen","451","451",2013,"Rhododendron groenlandicum",1
56.856949,-110.307251,"Boreal","Terrestrial","Poor Fen","452","452",2013,"Dracocephalum parviflorum",1
57.360245,-117.821838,"Boreal","Terrestrial","Poor Fen","459","459",2012,"Botrychium virginianum",1
57.188461,-115.144821,"Boreal","Terrestrial","Bog","467","467",2013,"Equisetum fluviatile",1
57.12431,-114.855614,"Boreal","Terrestrial","Poor Fen","468","468",2013,"Lycopodium annotinum",1
56.993168,-113.571747,"Boreal","Terrestrial","Poor Fen","472","472",2015,"Equisetum scirpoides",1
57.02507,-113.249763,"Boreal","Terrestrial","Rich Fen","473","473",2015,"Equisetum sylvaticum",1
56.952862,-112.872215,"Boreal","Terrestrial","Rich Fen","474","474",2015,"Hippuris vulgaris",1
56.959236,-112.631226,"Boreal","Terrestrial","Poor Fen","475","475",2013,"Rhododendron groenlandicum",1
56.894363,-112.319595,"Boreal","Terrestrial","Bog","476","476",2013,"Drosera rotundifolia",1
56.868309,-111.964401,"Boreal","Terrestrial","Bog","477","477",2013,"Equisetum scirpoides",1
56.755344,-111.322632,"Boreal","Terrestrial","Bog","479","479",2013,"Mertensia paniculata",1
56.739231,-110.993187,"Boreal","Terrestrial","Bog","480","480",2013,"Equisetum palustre",1
56.698807,-110.673233,"Boreal","Terrestrial","Rich Fen","481","481",2013,"Lycopodium annotinum",1
56.651634,-110.02491,"Boreal","Terrestrial","Bog","483","483",2013,"Rhododendron groenlandicum",1
57.296318,-119.8769,"Boreal","Terrestrial","Poor Fen","484","484",2007,"Equisetum sylvaticum",1
57.087059,-116.834015,"Boreal","Terrestrial","Poor Fen","493","493",2012,"Equisetum scirpoides",1
57.023487,-115.629578,"Boreal","Terrestrial","Poor Fen","497","497",2015,"Equisetum scirpoides",1
57.003262,-115.287514,"Boreal","Terrestrial","Rich Fen","498","498",2015,"Myrica gale",1
56.986378,-114.944817,"Boreal","Terrestrial","Swamp","499","499",2015,"Equisetum arvense",1
59.901665,-111.13752,"Canadian Shield","Terrestrial","Bog","5","5",2013,"Equisetum fluviatile",1
