"Latitude","Longitude","Protocol","NRNAME","WetlandType","Site","Year","rich","totdist_percent","UniqueID","CSI","propexotic"
49.113228,-112.905777,"Wetland","Grassland","Wet Meadow","1652B",2016,30,33.6310823,"Wetland_1652B",0.532264236766667,23.3333333333333
49.124611,-111.844841,"Wetland","Grassland","Shallow Lake","1643",2012,15,5.3287637,"Wetland_1643",0.625584046466667,26.6666666666667
49.126488,-113.182915,"Terrestrial","Grassland","Marsh","1651",2010,15,97.9594475801444,"Terrestrial_1651",1.1716514866,80
49.126488,-113.182915,"Terrestrial","Grassland","Marsh","1651",2016,8,99.9995880894839,"Terrestrial_1651",0.936450777375,75
49.126488,-113.182915,"Wetland","Grassland","Marsh","1651",2010,27,79.6657983,"Wetland_1651",0.55249798437037,29.6296296296296
49.126488,-113.182915,"Wetland","Grassland","Marsh","1651",2016,32,48.5715187,"Wetland_1651",0.5535922564375,40.625
49.127346,-111.570023,"Wetland","Grassland","Wet Meadow","1644",2009,39,11.9540199,"Wetland_1644",0.569515084410256,10.2564102564103
49.127346,-111.570023,"Wetland","Grassland","Wet Meadow","1644",2016,33,6.9757388,"Wetland_1644",0.487082768727273,15.1515151515152
49.173023,-112.103226,"Wetland","Grassland","Marsh","1642",2012,16,73.3404544,"Wetland_1642",0.5635505900625,31.25
49.17863,-110.98966,"Wetland","Grassland","Marsh","1629",2009,26,3.1220225,"Wetland_1629",0.816399682230769,7.69230769230769
49.17863,-110.98966,"Wetland","Grassland","Marsh","1629",2016,18,18.0453646,"Wetland_1629",0.59971797,27.7777777777778
49.191238,-113.802986,"Wetland","Parkland","Shallow Lake","OG-1649-1",2013,29,0,"Wetland_OG-1649-1",0.543285238551724,27.5862068965517
49.201641,-112.407562,"Terrestrial","Grassland","Marsh","1641",2012,61,1.00856106433133,"Terrestrial_1641",0.850043049344262,11.4754098360656
49.201641,-112.407562,"Wetland","Grassland","Shallow Lake","1641",2012,31,0,"Wetland_1641",0.490738407645161,16.1290322580645
49.207878,-112.653221,"Terrestrial","Grassland","Marsh","OG-1640-1",2011,63,8.96097095714556,"Terrestrial_OG-1640-1",0.819550700206349,12.6984126984127
49.207878,-112.653221,"Wetland","Grassland","Marsh","1640",2010,44,69.6805244,"Wetland_1640",0.661062024363636,15.9090909090909
49.207878,-112.653221,"Wetland","Grassland","Shallow Lake","OG-1640-1",2011,21,0,"Wetland_OG-1640-1",0.557802886857143,19.047619047619
49.207878,-112.653221,"Wetland","Grassland","Shallow Lake","OG-1640-2",2013,59,26.3976829,"Wetland_OG-1640-2",0.669866085050847,27.1186440677966
49.215382,-111.217354,"Wetland","Grassland","Marsh","1628",2010,15,8.196782,"Wetland_1628",0.7818533382,33.3333333333333
49.215382,-111.217354,"Wetland","Grassland","Marsh","1628",2016,21,11.4452557,"Wetland_1628",0.581559257904762,19.047619047619
49.263149,-110.411758,"Wetland","Grassland","Shallow Lake","OG-1614-1",2013,19,0,"Wetland_OG-1614-1",0.526804498631579,10.5263157894737
49.26749,-111.504272,"Wetland","Grassland","Wet Meadow","1627",2009,39,99.9635521,"Wetland_1627",0.568924250128205,23.0769230769231
49.26749,-111.504272,"Wetland","Grassland","Wet Meadow","1627",2016,33,88.9385908,"Wetland_1627",0.66161267630303,24.2424242424242
