Geo_name,Geo_type,Pop_2016,Pop_2011,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,Land area in square kilometres_2016,Population density per square kilometre_2016
Westlock,Town,5101,4823,5.8,2333,2212,F,5.5,13.37,381.4
Westlock County,Municipal district,7220,7644,-5.5,3009,2925,F,2.9,3171.83,2.3
Wetaskiwin,City,12655,12525,1,5563,5477,F,1.6,18.31,691.1
Wetaskiwin County No. 10,Municipal district,11181,10866,2.9,5556,5025,F,10.6,3132.06,3.6
Wheatland County,Municipal district,8788,8285,6.1,3117,2941,F,6,4545.92,1.9
Whispering Hills,Summer village,142,108,31.5,136,136,F,0,1.68,84.6
White Fish Lake 128,Indian reserve,1310,1188,10.3,319,318,F,0.3,50.93,25.7
White Sands,Summer village,120,91,31.9,253,217,F,16.6,1.58,76.2
Whitecourt,Town,10204,9605,6.2,4253,3893,F,9.2,26.44,386
Willingdon,Village,319,275,16,160,166,F,-3.6,0.92,345
Willow Creek No. 26,Municipal district,5179,5107,1.4,1863,1747,F,6.6,4558.14,1.1
Wood Buffalo,Specialized municipality,71589,65565,9.2,30713,27999,T,9.7,61777.65,1.2
Woodland Cree 226,Indian reserve,723,706,2.4,211,185,F,14.1,123.08,5.9
Woodland Cree 228,Indian reserve,150,143,4.9,36,32,F,12.5,38.05,3.9
Woodlands County,Municipal district,4754,4306,10.4,1950,1753,F,11.2,7669.13,0.6
Yellowhead County,Municipal district,10995,10469,5,5048,4708,F,7.2,22293.16,0.5
Yellowstone,Summer village,137,124,10.5,145,143,F,1.4,0.28,482.1
Youngstown,Village,154,178,-13.5,88,101,F,-12.9,1.11,139.3
