ABMI.Site,Year,CSDNAME,CDNAME
W-1190,"2,015",Flagstaff County,Division No.  7
W-1190,"2,008",Flagstaff County,Division No.  7
W-1491,"2,009",Foothills No. 31,Division No.  6
W-1491,"2,015",Foothills No. 31,Division No.  6
W-1492,"2,010",Foothills No. 31,Division No.  6
W-1493,"2,009",Foothills No. 31,Division No.  6
W-1493,"2,015",Foothills No. 31,Division No.  6
W-1510,"2,009",Foothills No. 31,Division No.  6
W-1510,"2,015",Foothills No. 31,Division No.  6
W-1511,"2,009",Foothills No. 31,Division No.  6
W-1511,"2,015",Foothills No. 31,Division No.  6
W-1512,"2,015",Foothills No. 31,Division No.  6
W-1513,"2,012",Foothills No. 31,Division No.  6
W-1529,"2,015",Foothills No. 31,Division No.  6
W-1529,"2,009",Foothills No. 31,Division No.  6
W-1530,"2,015",Foothills No. 31,Division No.  6
W-1530,"2,009",Foothills No. 31,Division No.  6
W-1531,"2,015",Foothills No. 31,Division No.  6
W-1532,"2,012",Foothills No. 31,Division No.  6
OGW-1594,"2,013",Forty Mile County No. 8,Division No.  1
W-1559,"2,011",Forty Mile County No. 8,Division No.  1
W-1560,"2,011",Forty Mile County No. 8,Division No.  1
W-1576,"2,011",Forty Mile County No. 8,Division No.  1
W-1577,"2,011",Forty Mile County No. 8,Division No.  1
W-1593,"2,011",Forty Mile County No. 8,Division No.  1
W-1593,"2,016",Forty Mile County No. 8,Division No.  1
W-1594,"2,011",Forty Mile County No. 8,Division No.  1
W-1595,"2,011",Forty Mile County No. 8,Division No.  1
W-1595,"2,016",Forty Mile County No. 8,Division No.  1
W-1596,"2,012",Forty Mile County No. 8,Division No.  1
W-1609,"2,012",Forty Mile County No. 8,Division No.  1
W-1610,"2,009",Forty Mile County No. 8,Division No.  1
W-1610,"2,016",Forty Mile County No. 8,Division No.  1
W-1611,"2,009",Forty Mile County No. 8,Division No.  1
W-1612,"2,009",Forty Mile County No. 8,Division No.  1
W-1627,"2,009",Forty Mile County No. 8,Division No.  1
W-1627,"2,016",Forty Mile County No. 8,Division No.  1
W-1628,"2,010",Forty Mile County No. 8,Division No.  1
W-1628,"2,016",Forty Mile County No. 8,Division No.  1
W-1629,"2,009",Forty Mile County No. 8,Division No.  1
W-1629,"2,016",Forty Mile County No. 8,Division No.  1
W-1645,"2,009",Forty Mile County No. 8,Division No.  1
W-1646,"2,009",Forty Mile County No. 8,Division No.  1
W-1646,"2,016",Forty Mile County No. 8,Division No.  1
W-772,"2,013",Grande Prairie County No. 1,Division No. 19
W-802,"2,013",Grande Prairie County No. 1,Division No. 19
W-803,"2,013",Grande Prairie County No. 1,Division No. 19
W-804,"2,013",Grande Prairie County No. 1,Division No. 19
W-834,"2,013",Grande Prairie County No. 1,Division No. 19
W-835,"2,013",Grande Prairie County No. 1,Division No. 19
W-836,"2,013",Grande Prairie County No. 1,Division No. 19
W-867,"2,008",Grande Prairie County No. 1,Division No. 19
W-1001,"2,011",Greenview No. 16,Division No. 18
W-1002,"2,011",Greenview No. 16,Division No. 18
W-1003,"2,011",Greenview No. 16,Division No. 18
W-1029,"2,011",Greenview No. 16,Division No. 18
W-1030,"2,011",Greenview No. 16,Division No. 18
W-1031,"2,011",Greenview No. 16,Division No. 18
W-1035,"2,010",Greenview No. 16,Division No. 18
W-1036,"2,010",Greenview No. 16,Division No. 18
W-1037,"2,010",Greenview No. 16,Division No. 18
W-1068,"2,008",Greenview No. 16,Division No. 18
W-808,"2,013",Greenview No. 16,Division No. 18
W-840,"2,013",Greenview No. 16,Division No. 18
W-866,"2,008",Greenview No. 16,Division No. 18
W-868,"2,008",Greenview No. 16,Division No. 18
W-899,"2,008",Greenview No. 16,Division No. 18
W-900,"2,008",Greenview No. 16,Division No. 18
W-901,"2,008",Greenview No. 16,Division No. 18
W-908,"2,010",Greenview No. 16,Division No. 18
W-932,"2,008",Greenview No. 16,Division No. 18
W-933,"2,008",Greenview No. 16,Division No. 18
W-934,"2,008",Greenview No. 16,Division No. 18
W-941,"2,010",Greenview No. 16,Division No. 18
W-962,"2,011",Greenview No. 16,Division No. 18
W-963,"2,011",Greenview No. 16,Division No. 18
W-964,"2,011",Greenview No. 16,Division No. 18
W-968,"2,011",Greenview No. 16,Division No. 18
W-969,"2,011",Greenview No. 16,Division No. 18
W-970,"2,011",Greenview No. 16,Division No. 18
W-974,"2,008",Greenview No. 16,Division No. 18
W-995,"2,011",Greenview No. 16,Division No. 18
W-996,"2,011",Greenview No. 16,Division No. 18
W-997,"2,011",Greenview No. 16,Division No. 18
OGW-542,"2,015",Gregoire Lake 176,Division No. 16
W-542,"2,014",Gregoire Lake 176,Division No. 16
W-1260,"2,011",Improvement District No. 12 Jasper Park,Division No. 15
W-1261,"2,011",Improvement District No. 12 Jasper Park,Division No. 15
W-120,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
W-121,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
W-121,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-13,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-13,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
W-14,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
W-14,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-149,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-15,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
W-15,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-150,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-151,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-178,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-179,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-180,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-207,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-208,"2,010",Improvement District No. 24 Wood Buffalo,Division No. 16
W-232,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-233,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-234,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-235,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-237,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-238,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-262,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-263,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-264,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-265,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-266,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-267,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-268,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-292,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-293,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-294,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-32,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-32,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
W-33,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
W-33,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-34,"2,009",Improvement District No. 24 Wood Buffalo,Division No. 16
W-34,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-35,"2,012",Improvement District No. 24 Wood Buffalo,Division No. 16
W-54,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-55,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-56,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-63,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
W-63,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-82,"2,013",Improvement District No. 24 Wood Buffalo,Division No. 16
W-91,"2,011",Improvement District No. 24 Wood Buffalo,Division No. 16
W-91,"2,016",Improvement District No. 24 Wood Buffalo,Division No. 16
W-1133,"2,008",Improvement District No. 25 Willmore Wilderness,Division No. 14
OGW-732,"2,013",Improvement District No. 349,Division No. 12
W-672,"2,011",Improvement District No. 349,Division No. 12
W-672,"2,016",Improvement District No. 349,Division No. 12
W-1358,"2,013",Kneehill County,Division No.  5
W-1359,"2,014",Kneehill County,Division No.  5
W-1383,"2,013",Kneehill County,Division No.  5
W-1384,"2,014",Kneehill County,Division No.  5
W-1385,"2,014",Kneehill County,Division No.  5
W-1408,"2,014",Kneehill County,Division No.  5
W-1409,"2,014",Kneehill County,Division No.  5
OGW-701,"2,012",Lac la Biche County,Division No. 12
OGW-760,"2,011",Lac la Biche County,Division No. 12
W-632,"2,007",Lac la Biche County,Division No. 12
W-632,"2,015",Lac la Biche County,Division No. 12
W-633,"2,015",Lac la Biche County,Division No. 12
W-633,"2,007",Lac la Biche County,Division No. 12
W-635,"2,012",Lac la Biche County,Division No. 12
W-664,"2,007",Lac la Biche County,Division No. 12
W-664,"2,015",Lac la Biche County,Division No. 12
W-665,"2,007",Lac la Biche County,Division No. 12
W-665,"2,015",Lac la Biche County,Division No. 12
W-666,"2,012",Lac la Biche County,Division No. 12
W-667,"2,012",Lac la Biche County,Division No. 12
W-668,"2,012",Lac la Biche County,Division No. 12
W-695,"2,013",Lac la Biche County,Division No. 12
W-696,"2,013",Lac la Biche County,Division No. 12
W-697,"2,009",Lac la Biche County,Division No. 12
W-698,"2,009",Lac la Biche County,Division No. 12
W-698,"2,016",Lac la Biche County,Division No. 12
W-699,"2,009",Lac la Biche County,Division No. 12
W-699,"2,016",Lac la Biche County,Division No. 12
W-700,"2,014",Lac la Biche County,Division No. 12
W-701,"2,014",Lac la Biche County,Division No. 12
W-702,"2,014",Lac la Biche County,Division No. 12
W-728,"2,009",Lac la Biche County,Division No. 12
W-728,"2,016",Lac la Biche County,Division No. 12
W-729,"2,009",Lac la Biche County,Division No. 12
W-729,"2,016",Lac la Biche County,Division No. 12
W-730,"2,009",Lac la Biche County,Division No. 12
W-730,"2,016",Lac la Biche County,Division No. 12
W-759,"2,009",Lac la Biche County,Division No. 12
W-759,"2,016",Lac la Biche County,Division No. 12
W-760,"2,016",Lac la Biche County,Division No. 12
W-760,"2,009",Lac la Biche County,Division No. 12
W-761,"2,009",Lac la Biche County,Division No. 12
W-761,"2,016",Lac la Biche County,Division No. 12
W-791,"2,007",Lac la Biche County,Division No. 12
W-791,"2,015",Lac la Biche County,Division No. 12
W-792,"2,007",Lac la Biche County,Division No. 12
W-792,"2,015",Lac la Biche County,Division No. 12
W-793,"2,015",Lac la Biche County,Division No. 12
W-794,"2,012",Lac la Biche County,Division No. 12
W-794,"2,015",Lac la Biche County,Division No. 12
W-823,"2,015",Lac la Biche County,Division No. 12
W-823,"2,007",Lac la Biche County,Division No. 12
W-824,"2,015",Lac la Biche County,Division No. 12
W-824,"2,007",Lac la Biche County,Division No. 12
W-825,"2,015",Lac la Biche County,Division No. 12
W-825,"2,007",Lac la Biche County,Division No. 12
W-826,"2,012",Lac la Biche County,Division No. 12
W-826,"2,016",Lac la Biche County,Division No. 12
W-855,"2,007",Lac la Biche County,Division No. 12
W-855,"2,015",Lac la Biche County,Division No. 12
W-856,"2,007",Lac la Biche County,Division No. 12
W-856,"2,015",Lac la Biche County,Division No. 12
W-857,"2,015",Lac la Biche County,Division No. 12
W-857,"2,007",Lac la Biche County,Division No. 12
W-858,"2,012",Lac la Biche County,Division No. 12
W-858,"2,016",Lac la Biche County,Division No. 12
W-889,"2,014",Lac la Biche County,Division No. 12
W-890,"2,010",Lac la Biche County,Division No. 12
W-890,"2,016",Lac la Biche County,Division No. 12
W-1246,"2,011",Lacombe County,Division No.  8
W-1271,"2,014",Lacombe County,Division No.  8
W-1275,"2,011",Lacombe County,Division No.  8
W-1275,"2,015",Lacombe County,Division No.  8
W-1299,"2,014",Lacombe County,Division No.  8
OGW-1053,"2,011",Lamont County,Division No. 10
W-1118,"2,007",Leduc County,Division No. 11
W-1148,"2,011",Leduc County,Division No. 11
W-1149,"2,011",Leduc County,Division No. 11
W-1149,"2,015",Leduc County,Division No. 11
OGW-754,"2,011",Lesser Slave River No. 124,Division No. 17
OGW-720,"2,015",Lesser Slave River No.124,Division No. 17
OGW-721,"2,015",Lesser Slave River No.124,Division No. 17
W-719,"2,008",Lesser Slave River No.124,Division No. 17
W-720,"2,008",Lesser Slave River No.124,Division No. 17
W-722,"2,013",Lesser Slave River No.124,Division No. 17
W-723,"2,013",Lesser Slave River No.124,Division No. 17
W-750,"2,008",Lesser Slave River No.124,Division No. 17
W-753,"2,013",Lesser Slave River No.124,Division No. 17
W-754,"2,013",Lesser Slave River No.124,Division No. 17
W-785,"2,014",Lesser Slave River No.124,Division No. 17
W-786,"2,014",Lesser Slave River No.124,Division No. 17
W-817,"2,014",Lesser Slave River No.124,Division No. 17
W-818,"2,014",Lesser Slave River No.124,Division No. 17
W-819,"2,014",Lesser Slave River No.124,Division No. 17
W-849,"2,014",Lesser Slave River No.124,Division No. 17
W-850,"2,014",Lesser Slave River No.124,Division No. 17
W-881,"2,009",Lesser Slave River No.124,Division No. 17
W-882,"2,009",Lesser Slave River No.124,Division No. 17
W-1605,"2,011",Lethbridge,Division No.  2
W-1570,"2,014",Lethbridge County,Division No.  2
W-1571,"2,014",Lethbridge County,Division No.  2
W-1587,"2,014",Lethbridge County,Division No.  2
W-1588,"2,014",Lethbridge County,Division No.  2
W-1589,"2,014",Lethbridge County,Division No.  2
W-1606,"2,011",Lethbridge County,Division No.  2
OGW-128,"2,013",Mackenzie County,Division No. 17
OGW-276,"2,013",Mackenzie County,Division No. 17
W-111,"2,013",Mackenzie County,Division No. 17
W-112,"2,013",Mackenzie County,Division No. 17
W-113,"2,013",Mackenzie County,Division No. 17
W-128,"2,014",Mackenzie County,Division No. 17
W-129,"2,014",Mackenzie County,Division No. 17
W-130,"2,014",Mackenzie County,Division No. 17
W-134,"2,013",Mackenzie County,Division No. 17
W-135,"2,012",Mackenzie County,Division No. 17
W-136,"2,012",Mackenzie County,Division No. 17
W-157,"2,014",Mackenzie County,Division No. 17
W-158,"2,014",Mackenzie County,Division No. 17
W-159,"2,014",Mackenzie County,Division No. 17
W-163,"2,012",Mackenzie County,Division No. 17
W-164,"2,012",Mackenzie County,Division No. 17
W-165,"2,012",Mackenzie County,Division No. 17
W-186,"2,014",Mackenzie County,Division No. 17
W-187,"2,014",Mackenzie County,Division No. 17
W-188,"2,014",Mackenzie County,Division No. 17
W-192,"2,012",Mackenzie County,Division No. 17
W-193,"2,012",Mackenzie County,Division No. 17
W-194,"2,013",Mackenzie County,Division No. 17
W-216,"2,007",Mackenzie County,Division No. 17
W-217,"2,007",Mackenzie County,Division No. 17
W-218,"2,007",Mackenzie County,Division No. 17
W-225,"2,014",Mackenzie County,Division No. 17
W-226,"2,014",Mackenzie County,Division No. 17
W-227,"2,014",Mackenzie County,Division No. 17
W-231,"2,013",Mackenzie County,Division No. 17
W-246,"2,007",Mackenzie County,Division No. 17
W-247,"2,007",Mackenzie County,Division No. 17
W-248,"2,007",Mackenzie County,Division No. 17
W-255,"2,014",Mackenzie County,Division No. 17
W-256,"2,014",Mackenzie County,Division No. 17
W-257,"2,014",Mackenzie County,Division No. 17
W-261,"2,013",Mackenzie County,Division No. 17
W-276,"2,007",Mackenzie County,Division No. 17
W-277,"2,007",Mackenzie County,Division No. 17
W-278,"2,007",Mackenzie County,Division No. 17
W-285,"2,014",Mackenzie County,Division No. 17
W-286,"2,014",Mackenzie County,Division No. 17
W-287,"2,014",Mackenzie County,Division No. 17
W-314,"2,008",Mackenzie County,Division No. 17
W-315,"2,008",Mackenzie County,Division No. 17
W-343,"2,008",Mackenzie County,Division No. 17
W-344,"2,008",Mackenzie County,Division No. 17
W-345,"2,008",Mackenzie County,Division No. 17
W-373,"2,008",Mackenzie County,Division No. 17
W-374,"2,008",Mackenzie County,Division No. 17
W-375,"2,008",Mackenzie County,Division No. 17
W-40,"2,014",Mackenzie County,Division No. 17
W-406,"2,013",Mackenzie County,Division No. 17
W-407,"2,013",Mackenzie County,Division No. 17
W-408,"2,013",Mackenzie County,Division No. 17
W-41,"2,014",Mackenzie County,Division No. 17
W-436,"2,013",Mackenzie County,Division No. 17
W-68,"2,014",Mackenzie County,Division No. 17
W-69,"2,014",Mackenzie County,Division No. 17
W-83,"2,013",Mackenzie County,Division No. 17
W-84,"2,013",Mackenzie County,Division No. 17
W-97,"2,014",Mackenzie County,Division No. 17
W-98,"2,014",Mackenzie County,Division No. 17
W-1543,"2,014",Medicine Hat,Division No.  1
OGW-1058,"2,011",Minburn County No. 27,Division No. 10
W-1056,"2,011",Minburn County No. 27,Division No. 10
W-1056,"2,015",Minburn County No. 27,Division No. 10
W-1057,"2,011",Minburn County No. 27,Division No. 10
W-1057,"2,015",Minburn County No. 27,Division No. 10
W-1058,"2,015",Minburn County No. 27,Division No. 10
W-1092,"2,011",Minburn County No. 27,Division No. 10
W-1386,"2,014",Morrin,Division No.  5
W-1379,"2,008",Mountain View County,Division No.  6
W-1380,"2,008",Mountain View County,Division No.  6
W-1381,"2,013",Mountain View County,Division No.  6
W-1382,"2,013",Mountain View County,Division No.  6
W-1404,"2,008",Mountain View County,Division No.  6
W-1405,"2,013",Mountain View County,Division No.  6
W-1406,"2,013",Mountain View County,Division No.  6
W-1407,"2,013",Mountain View County,Division No.  6
W-1428,"2,016",Mountain View County,Division No.  6
W-1428,"2,010",Mountain View County,Division No.  6
OGW-1538,"2,013",Newell County,Division No.  2
W-1479,"2,013",Newell County,Division No.  2
W-1480,"2,011",Newell County,Division No.  2
W-1481,"2,011",Newell County,Division No.  2
W-1498,"2,013",Newell County,Division No.  2
W-1499,"2,013",Newell County,Division No.  2
W-1500,"2,016",Newell County,Division No.  2
W-1501,"2,013",Newell County,Division No.  2
W-1501,"2,016",Newell County,Division No.  2
W-1520,"2,016",Newell County,Division No.  2
W-1538,"2,010",Newell County,Division No.  2
W-1538,"2,016",Newell County,Division No.  2
W-1539,"2,010",Newell County,Division No.  2
OGW-583,"2,012",Northern Lights County,Division No. 17
W-397,"2,012",Northern Lights County,Division No. 17
W-398,"2,012",Northern Lights County,Division No. 17
W-399,"2,012",Northern Lights County,Division No. 17
W-427,"2,012",Northern Lights County,Division No. 17
W-428,"2,012",Northern Lights County,Division No. 17
W-429,"2,012",Northern Lights County,Division No. 17
W-457,"2,012",Northern Lights County,Division No. 17
W-459,"2,012",Northern Lights County,Division No. 17
W-491,"2,012",Northern Lights County,Division No. 17
W-492,"2,012",Northern Lights County,Division No. 17
W-522,"2,012",Northern Lights County,Division No. 17
W-523,"2,012",Northern Lights County,Division No. 17
W-553,"2,012",Northern Lights County,Division No. 17
W-554,"2,012",Northern Lights County,Division No. 17
W-584,"2,007",Northern Lights County,Division No. 17
W-584,"2,015",Northern Lights County,Division No. 17
W-585,"2,007",Northern Lights County,Division No. 17
W-616,"2,015",Northern Lights County,Division No. 17
W-616,"2,007",Northern Lights County,Division No. 17
W-617,"2,007",Northern Lights County,Division No. 17
W-617,"2,015",Northern Lights County,Division No. 17
W-648,"2,007",Northern Lights County,Division No. 17
OGW-527,"2,011",Northern Sunrise County,Division No. 17
OGW-559,"2,013",Northern Sunrise County,Division No. 17
OGW-652,"2,012",Northern Sunrise County,Division No. 17
W-437,"2,013",Northern Sunrise County,Division No. 17
W-466,"2,013",Northern Sunrise County,Division No. 17
W-467,"2,013",Northern Sunrise County,Division No. 17
W-493,"2,012",Northern Sunrise County,Division No. 17
W-497,"2,009",Northern Sunrise County,Division No. 17
W-497,"2,015",Northern Sunrise County,Division No. 17
W-498,"2,009",Northern Sunrise County,Division No. 17
W-498,"2,015",Northern Sunrise County,Division No. 17
W-524,"2,012",Northern Sunrise County,Division No. 17
W-528,"2,009",Northern Sunrise County,Division No. 17
W-528,"2,015",Northern Sunrise County,Division No. 17
W-529,"2,015",Northern Sunrise County,Division No. 17
W-529,"2,009",Northern Sunrise County,Division No. 17
W-530,"2,009",Northern Sunrise County,Division No. 17
W-530,"2,015",Northern Sunrise County,Division No. 17
W-555,"2,012",Northern Sunrise County,Division No. 17
W-555,"2,016",Northern Sunrise County,Division No. 17
W-559,"2,009",Northern Sunrise County,Division No. 17
W-559,"2,015",Northern Sunrise County,Division No. 17
W-586,"2,007",Northern Sunrise County,Division No. 17
W-586,"2,015",Northern Sunrise County,Division No. 17
W-587,"2,013",Northern Sunrise County,Division No. 17
W-587,"2,016",Northern Sunrise County,Division No. 17
W-588,"2,013",Northern Sunrise County,Division No. 17
W-588,"2,016",Northern Sunrise County,Division No. 17
W-589,"2,013",Northern Sunrise County,Division No. 17
W-589,"2,016",Northern Sunrise County,Division No. 17
W-618,"2,007",Northern Sunrise County,Division No. 17
W-619,"2,016",Northern Sunrise County,Division No. 17
W-619,"2,013",Northern Sunrise County,Division No. 17
W-620,"2,013",Northern Sunrise County,Division No. 17
W-620,"2,016",Northern Sunrise County,Division No. 17
W-621,"2,013",Northern Sunrise County,Division No. 17
W-621,"2,016",Northern Sunrise County,Division No. 17
W-650,"2,007",Northern Sunrise County,Division No. 17
W-650,"2,015",Northern Sunrise County,Division No. 17
W-651,"2,013",Northern Sunrise County,Division No. 17
W-651,"2,016",Northern Sunrise County,Division No. 17
W-652,"2,013",Northern Sunrise County,Division No. 17
W-652,"2,016",Northern Sunrise County,Division No. 17
W-653,"2,013",Northern Sunrise County,Division No. 17
W-653,"2,016",Northern Sunrise County,Division No. 17
W-680,"2,014",Northern Sunrise County,Division No. 17
W-681,"2,014",Northern Sunrise County,Division No. 17
W-682,"2,013",Northern Sunrise County,Division No. 17
W-683,"2,013",Northern Sunrise County,Division No. 17
W-684,"2,013",Northern Sunrise County,Division No. 17
W-688,"2,008",Northern Sunrise County,Division No. 17
W-1238,"2,010",O'Chiese 203,Division No.  9
OGW-469,"2,011",Opportunity No. 17,Division No. 17
OGW-469,"2,014",Opportunity No. 17,Division No. 17
OGW-531,"2,013",Opportunity No. 17,Division No. 17
OGW-560,"2,013",Opportunity No. 17,Division No. 17
OGW-599,"2,014",Opportunity No. 17,Division No. 17
OGW-629,"2,012",Opportunity No. 17,Division No. 17
OGW-662,"2,011",Opportunity No. 17,Division No. 17
OGW-787,"2,015",Opportunity No. 17,Division No. 17
W-412,"2,008",Opportunity No. 17,Division No. 17
W-412,"2,015",Opportunity No. 17,Division No. 17
W-413,"2,008",Opportunity No. 17,Division No. 17
W-413,"2,015",Opportunity No. 17,Division No. 17
W-438,"2,013",Opportunity No. 17,Division No. 17
W-442,"2,008",Opportunity No. 17,Division No. 17
W-442,"2,015",Opportunity No. 17,Division No. 17
W-443,"2,008",Opportunity No. 17,Division No. 17
W-444,"2,015",Opportunity No. 17,Division No. 17
W-444,"2,008",Opportunity No. 17,Division No. 17
W-468,"2,013",Opportunity No. 17,Division No. 17
W-472,"2,008",Opportunity No. 17,Division No. 17
W-472,"2,015",Opportunity No. 17,Division No. 17
W-473,"2,015",Opportunity No. 17,Division No. 17
W-473,"2,008",Opportunity No. 17,Division No. 17
W-474,"2,015",Opportunity No. 17,Division No. 17
W-474,"2,008",Opportunity No. 17,Division No. 17
W-499,"2,015",Opportunity No. 17,Division No. 17
W-499,"2,009",Opportunity No. 17,Division No. 17
W-500,"2,014",Opportunity No. 17,Division No. 17
W-501,"2,014",Opportunity No. 17,Division No. 17
W-502,"2,014",Opportunity No. 17,Division No. 17
W-506,"2,009",Opportunity No. 17,Division No. 17
W-531,"2,014",Opportunity No. 17,Division No. 17
W-532,"2,014",Opportunity No. 17,Division No. 17
W-533,"2,014",Opportunity No. 17,Division No. 17
W-537,"2,009",Opportunity No. 17,Division No. 17
W-560,"2,009",Opportunity No. 17,Division No. 17
W-560,"2,015",Opportunity No. 17,Division No. 17
W-561,"2,009",Opportunity No. 17,Division No. 17
W-561,"2,015",Opportunity No. 17,Division No. 17
W-562,"2,014",Opportunity No. 17,Division No. 17
W-563,"2,014",Opportunity No. 17,Division No. 17
W-564,"2,014",Opportunity No. 17,Division No. 17
W-568,"2,009",Opportunity No. 17,Division No. 17
W-593,"2,013",Opportunity No. 17,Division No. 17
W-593,"2,016",Opportunity No. 17,Division No. 17
W-594,"2,013",Opportunity No. 17,Division No. 17
W-594,"2,016",Opportunity No. 17,Division No. 17
W-595,"2,013",Opportunity No. 17,Division No. 17
W-595,"2,016",Opportunity No. 17,Division No. 17
W-599,"2,007",Opportunity No. 17,Division No. 17
W-599,"2,015",Opportunity No. 17,Division No. 17
W-600,"2,007",Opportunity No. 17,Division No. 17
W-600,"2,015",Opportunity No. 17,Division No. 17
W-625,"2,013",Opportunity No. 17,Division No. 17
W-625,"2,016",Opportunity No. 17,Division No. 17
W-626,"2,013",Opportunity No. 17,Division No. 17
W-626,"2,016",Opportunity No. 17,Division No. 17
W-627,"2,016",Opportunity No. 17,Division No. 17
W-627,"2,013",Opportunity No. 17,Division No. 17
W-631,"2,007",Opportunity No. 17,Division No. 17
W-631,"2,015",Opportunity No. 17,Division No. 17
W-657,"2,013",Opportunity No. 17,Division No. 17
W-657,"2,016",Opportunity No. 17,Division No. 17
W-658,"2,016",Opportunity No. 17,Division No. 17
W-658,"2,013",Opportunity No. 17,Division No. 17
W-659,"2,013",Opportunity No. 17,Division No. 17
W-659,"2,016",Opportunity No. 17,Division No. 17
W-663,"2,007",Opportunity No. 17,Division No. 17
W-663,"2,015",Opportunity No. 17,Division No. 17
W-689,"2,008",Opportunity No. 17,Division No. 17
W-690,"2,008",Opportunity No. 17,Division No. 17
W-691,"2,013",Opportunity No. 17,Division No. 17
W-692,"2,013",Opportunity No. 17,Division No. 17
W-693,"2,013",Opportunity No. 17,Division No. 17
W-694,"2,013",Opportunity No. 17,Division No. 17
W-724,"2,013",Opportunity No. 17,Division No. 17
W-725,"2,013",Opportunity No. 17,Division No. 17
W-726,"2,013",Opportunity No. 17,Division No. 17
W-755,"2,013",Opportunity No. 17,Division No. 17
W-756,"2,013",Opportunity No. 17,Division No. 17
W-757,"2,013",Opportunity No. 17,Division No. 17
W-787,"2,014",Opportunity No. 17,Division No. 17
W-1252,"2,011",Paintearth County No. 18,Division No.  7
W-1279,"2,013",Paintearth County No. 18,Division No.  7
W-1280,"2,013",Paintearth County No. 18,Division No.  7
W-1281,"2,013",Paintearth County No. 18,Division No.  7
W-1307,"2,013",Paintearth County No. 18,Division No.  7
W-1308,"2,013",Paintearth County No. 18,Division No.  7
W-1309,"2,013",Paintearth County No. 18,Division No.  7
W-1079,"2,013",Parkland County,Division No. 11
W-1112,"2,013",Parkland County,Division No. 11
W-1116,"2,008",Parkland County,Division No. 11
W-679,"2,014",Peace No. 135,Division No. 19
W-649,"2,015",Peace River,Division No. 19
W-649,"2,007",Peace River,Division No. 19
OGW-1602,"2,013",Piikani 147,Division No.  3
W-1602,"2,007",Piikani 147,Division No.  3
W-1602,"2,015",Piikani 147,Division No.  3
W-1619,"2,008",Piikani 147,Division No.  3
OGW-1649,"2,013",Pincher Creek No. 9,Division No.  3
W-1618,"2,011",Pincher Creek No. 9,Division No.  3
W-1618,"2,015",Pincher Creek No. 9,Division No.  3
W-1635,"2,008",Pincher Creek No. 9,Division No.  3
W-1635,"2,015",Pincher Creek No. 9,Division No.  3
W-1636,"2,015",Pincher Creek No. 9,Division No.  3
W-1636,"2,008",Pincher Creek No. 9,Division No.  3
W-1222,"2,015",Provost No. 52,Division No.  7
W-1222,"2,008",Provost No. 52,Division No.  7
W-1223,"2,015",Provost No. 52,Division No.  7
W-1223,"2,008",Provost No. 52,Division No.  7
W-1224,"2,008",Provost No. 52,Division No.  7
