Geographic code,Geo_name,Geo_type,Province,"Geographic code, Census division","Geographic code, Census metropolitan area / census agglomeration",Pop_2016,"Incompletely enumerated Indian reserves and Indian settlements, 2016",Pop_2011,2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011",2011 population review or received update flag,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,"Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011",2011 adjusted private dwellings occupied by usual residents flag,"Private dwellings occupied by usual residents, % change",Land area in square kilometres_2016,Population density per square kilometre_2016,"National population rank, 2016","Provincial/territorial population rank, 2016"
4810014,Hay Lakes,Village,Alberta,4810,,495,F,425,F,F,,16.5,203,187,F,8.6,191,170,F,12.4,0.59,835.7,2978,259
4812840,Heart Lake 167,Indian reserve,Alberta,4812,,184,F,159,F,F,,15.7,57,46,F,23.9,48,41,F,17.1,47.54,3.9,3994,334
4807038,Heisler,Village,Alberta,4807,,160,F,151,F,F,,6,87,81,F,7.4,74,71,F,4.2,0.64,250.8,4068,342
4817093,High Level,Town,Alberta,4817,,3159,F,3641,F,F,,-13.2,1339,1463,F,-8.5,1096,1272,F,-13.8,29.2,108.2,985,119
4817021,High Prairie,Town,Alberta,4817,,2564,F,2600,F,F,,-1.4,1116,1069,F,4.4,949,972,F,-2.4,7.22,355.3,1140,134
4806006,High River,Town,Alberta,4806,821,13584,F,12930,T,F,D,5.1,5655,5479,T,3.2,5367,5267,T,1.9,21.39,635.1,305,33
4803008,Hill Spring,Village,Alberta,4803,,162,F,186,F,F,,-12.9,92,83,F,10.8,74,78,F,-5.1,0.96,168.6,4064,341
4817064,Hines Creek,Village,Alberta,4817,,346,F,380,F,F,,-8.9,151,157,F,-3.8,146,147,F,-0.7,5.33,64.9,3395,281
4814019,Hinton,Town,Alberta,4814,,9882,F,9640,F,F,,2.5,4343,4143,F,4.8,3930,3781,F,3.9,33.52,294.8,416,46
4810021,Holden,Village,Alberta,4810,,350,F,381,F,F,,-8.1,167,213,F,-21.6,146,182,F,-19.8,1.74,200.9,3384,280
4819815,Horse Lakes 152B,Indian reserve,Alberta,4819,,469,F,402,F,F,,16.7,112,111,F,0.9,107,103,F,3.9,14.33,32.7,3045,263
4812020,Horseshoe Bay,Summer village,Alberta,4812,,49,F,37,F,F,,32.4,88,22,F,300,25,17,F,47.1,1.14,42.8,4557,391
4807006,Hughenden,Village,Alberta,4807,,243,F,230,F,F,,5.7,117,106,F,10.4,101,89,F,13.5,0.78,309.9,3763,303
4805019,Hussar,Village,Alberta,4805,,190,F,176,F,F,,8,87,89,F,-2.2,78,78,F,0,0.75,254.8,3966,328
4819008,Hythe,Village,Alberta,4819,,827,F,820,F,F,,0.9,320,329,F,-2.7,289,296,F,-2.4,4.1,201.9,2342,220
4803003,Improvement District No.  4 Waterton,Improvement district,Alberta,4803,,105,F,88,F,F,,19.3,168,181,F,-7.2,39,31,F,25.8,485.66,0.2,4293,370
4815032,Improvement District No.  9 Banff,Improvement district,Alberta,4815,,1028,F,1175,F,F,,-12.5,31,120,F,-74.2,30,86,F,-65.1,6787.28,0.2,2057,196
4815037,Improvement District No. 12 Jasper Park,Improvement district,Alberta,4815,,53,F,34,F,F,,55.9,0,0,F,,0,0,F,,10185.75,0,4532,388
4810068,Improvement District No. 13 Elk Island,Improvement district,Alberta,4810,,0,F,10,F,F,,-100,6,0,F,,1,0,F,,165.05,0,4870,416
4816051,Improvement District No. 24 Wood Buffalo,Improvement district,Alberta,4816,,648,F,590,F,F,,9.8,123,102,F,20.6,106,100,F,6,33416.3,0,2647,244
4814028,Improvement District No. 25 Willmore Wilderness,Improvement district,Alberta,4814,,0,F,0,F,F,,,0,0,F,,0,0,F,,4605.63,0,4870,416
4812038,Improvement District No. 349,Improvement district,Alberta,4812,,0,F,0,T,F,D,,0,0,T,,0,0,T,,5639.63,0,4870,416
4808008,Innisfail,Town,Alberta,4808,,7847,F,7876,F,F,,-0.4,3509,3323,F,5.6,3169,3118,F,1.6,19.4,404.6,501,61
4810031,Innisfree,Village,Alberta,4810,,193,F,220,F,F,,-12.3,126,136,F,-7.4,96,108,F,-11.1,1.01,191.1,3952,325
4807056,Irma,Village,Alberta,4807,,521,F,457,F,F,,14,242,229,F,5.7,221,204,F,8.3,1.34,389,2919,256
4806022,Irricana,Town,Alberta,4806,825,1216,F,1162,F,F,,4.6,479,480,F,-0.2,473,444,F,6.5,3.23,376.1,1859,182
4813049,Island Lake,Summer village,Alberta,4813,,228,F,243,F,F,,-6.2,263,248,F,6,96,104,F,-7.7,1.85,123.1,3814,307
4813051,Island Lake South,Summer village,Alberta,4813,,61,F,72,F,F,,-15.3,74,65,F,13.8,30,34,F,-11.8,0.67,90.8,4497,387
4811022,Itaska Beach,Summer village,Alberta,4811,835,23,F,20,F,F,,15,78,79,F,-1.3,10,12,F,-16.7,0.29,78.7,4682,406
4816817,Janvier 194,Indian reserve,Alberta,4816,860,414,F,295,F,F,,40.3,143,128,F,11.7,126,102,F,23.5,27.42,15.1,3191,271
4808005,Jarvis Bay,Summer village,Alberta,4808,831,213,F,203,F,F,,4.9,136,134,F,1.5,86,75,F,14.7,0.53,405.7,3874,316
4815033,Jasper,Specialized municipality,Alberta,4815,,4590,F,4432,F,F,A,3.6,1702,1819,F,-6.4,1576,1606,F,-1.9,924.06,5,760,91
4817817,Jean Baptiste Gambler 183,Indian reserve,Alberta,4817,,253,F,254,F,F,,-0.4,86,72,F,19.4,68,62,F,9.7,1.9,132.9,3722,299
4817837,John d'Or Prairie 215,Indian reserve,Alberta,4817,,1196,F,1123,F,F,,6.5,237,225,F,5.3,223,202,F,10.4,171.03,7,1879,184
4815013,Kananaskis,Improvement district,Alberta,4815,,221,F,249,F,F,,-11.2,79,65,F,21.5,58,28,F,107.1,4213.95,0.1,3844,309
4811044,Kapasiwin,Summer village,Alberta,4811,835,10,F,10,F,F,,0,41,45,F,-8.9,5,7,F,-28.6,0.3,33.2,4749,410
4817836,Kapawe'no First Nation (Freeman 150B),Indian reserve,Alberta,4817,,154,F,115,F,F,,33.9,45,39,F,15.4,44,35,F,25.7,0.3,520.8,4094,347
4817830,Kapawe'no First Nation (Pakashan 150D),Indian reserve,Alberta,4817,,5,F,5,F,F,,0,7,5,F,40,4,2,F,100,3.9,1.3,4804,415
4812811,Kehewin 123,Indian reserve,Alberta,4812,,976,F,1065,F,F,,-8.4,256,272,F,-5.9,233,238,F,-2.1,80.05,12.2,2125,203
4807042,Killam,Town,Alberta,4807,,989,F,981,F,F,,0.8,415,434,T,-4.4,380,400,T,-5,6.75,146.5,2101,200
4810041,Kitscoty,Village,Alberta,4810,,925,F,846,F,F,,9.3,337,316,F,6.6,317,300,F,5.7,1.51,610.9,2198,209
4805041,Kneehill County,Municipal district,Alberta,4805,,5001,F,4921,F,F,,1.6,1859,1817,F,2.3,1722,1670,F,3.1,3381.02,1.5,713,89
4812037,Lac la Biche County,Municipal district,Alberta,4812,,8330,F,8402,F,F,,-0.9,3998,3888,F,2.8,3076,2989,F,2.9,12572.29,0.7,474,55
4813001,Lac Ste. Anne County,Municipal district,Alberta,4813,,10899,F,10260,F,F,,6.2,5385,4959,F,8.6,4346,4092,F,6.2,2850.38,3.8,378,42
4808031,Lacombe,City,Alberta,4808,832,13057,F,11707,F,F,,11.5,5034,4686,F,7.4,4797,4413,F,8.7,20.81,627.5,319,36
4808022,Lacombe County,Municipal district,Alberta,4808,,10343,F,10307,T,F,D,0.3,4668,4314,T,8.2,3890,3712,T,4.8,2765.16,3.7,397,44
4811042,Lakeview,Summer village,Alberta,4811,835,30,F,26,F,F,,15.4,23,36,F,-36.1,13,13,F,0,0.35,86.3,4637,401
4810064,Lamont,Town,Alberta,4810,,1774,F,1753,F,F,,1.2,695,673,F,3.3,664,643,F,3.3,9.2,192.8,1469,159
4810058,Lamont County,Municipal district,Alberta,4810,,3899,F,3872,F,F,,0.7,1919,1816,T,5.7,1589,1580,T,0.6,2385.09,1.6,843,101
4813033,Larkspur,Summer village,Alberta,4813,,44,F,38,F,F,,15.8,89,69,F,29,23,16,F,43.8,0.26,167.2,4578,395
4811016,Leduc,City,Alberta,4811,835,29993,F,24304,T,F,D,23.4,12264,9797,T,25.2,11319,9298,T,21.7,42.44,706.7,150,14
4811012,Leduc County,Municipal district,Alberta,4811,835,13780,F,13494,T,F,B,2.1,5960,5476,T,8.8,5101,4947,T,3.1,2601.49,5.3,299,31
4811069,Legal,Town,Alberta,4811,835,1345,F,1225,F,F,,9.8,465,464,F,0.2,448,439,F,2.1,3.18,423.4,1750,172
4817033,Lesser Slave River No.124,Municipal district,Alberta,4817,,2803,F,2929,F,F,,-4.3,1310,1438,F,-8.9,1090,1111,F,-1.9,10074.39,0.3,1072,127
4802012,Lethbridge,City,Alberta,4802,810,92729,F,83517,F,F,,11,39867,37396,F,6.6,37575,34140,F,10.1,122.09,759.5,59,5
4802011,Lethbridge County,Municipal district,Alberta,4802,810,10353,F,10046,T,F,D,3.1,3129,3047,T,2.7,2968,2861,T,3.7,2836.64,3.6,396,43
4805046,Linden,Village,Alberta,4805,,828,F,725,F,F,,14.2,331,315,F,5.1,306,293,F,4.4,2.58,321.5,2338,217
4817853,Little Buffalo,Indian Settlement,Alberta,4817,,452,F,387,F,F,,16.8,130,106,F,22.6,113,89,F,27,13.26,34.1,3082,265
4810039,Lloydminster (Part),City,Alberta,4810,840,19645,F,18032,F,F,,8.9,8444,7451,F,13.3,7444,6930,F,7.4,24.04,817.3,221,22
4805008,Lomond,Village,Alberta,4805,,166,F,173,F,F,,-4,101,102,F,-1,73,80,F,-8.8,1.21,137,4055,339
4806008,Longview,Village,Alberta,4806,,307,F,307,F,F,,0,151,140,F,7.9,140,131,F,6.9,1.1,278.3,3539,291
4817860,Loon Lake 235,Indian reserve,Alberta,4817,,555,F,511,F,F,,8.6,157,148,F,6.1,147,134,F,9.7,54.98,10.1,2837,250
4807046,Lougheed,Village,Alberta,4807,,256,F,233,F,F,,9.9,118,119,F,-0.8,108,101,F,6.9,2.1,121.8,3713,298
4811803,Louis Bull 138B,Indian reserve,Alberta,4811,,1177,F,1309,F,F,,-10.1,276,253,F,9.1,226,235,F,-3.8,31.55,37.3,1900,186
4811008,Ma-Me-O Beach,Summer village,Alberta,4811,,110,F,113,F,F,,-2.7,259,253,F,2.4,63,63,F,0,0.52,213.3,4277,368
4817095,Mackenzie County,Specialized municipality,Alberta,4817,,11171,F,10927,F,F,,2.2,3567,3123,F,14.2,3088,2900,F,6.5,80458.19,0.1,369,40
4803002,Magrath,Town,Alberta,4803,,2374,F,2217,F,F,,7.1,794,748,F,6.1,757,684,F,10.7,5.99,396.4,1209,139
4810805,Makaoo (Part) 120,Indian reserve,Alberta,4810,,208,F,180,F,F,,15.6,49,48,F,2.1,45,45,F,0,35.98,5.8,3889,318
4817078,Manning,Town,Alberta,4817,,1183,F,1164,F,F,,1.6,544,501,F,8.6,484,461,F,5,4.05,291.9,1896,185
4810034,Mannville,Village,Alberta,4810,,828,F,803,F,F,,3.1,377,382,F,-1.3,341,355,F,-3.9,1.64,504.6,2338,217
4810044,Marwayne,Village,Alberta,4810,,564,F,612,F,F,,-7.8,245,263,F,-6.8,231,232,F,-0.4,1.6,352.5,2816,249
4813002,Mayerthorpe,Town,Alberta,4813,,1320,F,1398,F,F,,-5.6,600,629,F,-4.6,540,589,F,-8.3,4.37,302.2,1781,174
4819042,McLennan,Town,Alberta,4819,,701,F,809,F,F,,-13.3,296,342,F,-13.5,256,291,F,-12,3.71,188.7,2537,236
4801006,Medicine Hat,City,Alberta,4801,805,63260,F,60005,F,F,,5.4,27970,27342,F,2.3,26652,25445,F,4.7,112.04,564.6,87,8
4813045,Mewatha Beach,Summer village,Alberta,4813,,90,F,79,F,F,,13.9,177,191,F,-7.3,48,37,F,29.7,0.8,111.8,4348,378
4802004,Milk River,Town,Alberta,4802,,827,F,811,F,F,,2,420,418,F,0.5,375,357,F,5,2.33,355.2,2342,220
4811011,Millet,Town,Alberta,4811,,1945,F,2092,F,F,,-7,866,869,F,-0.3,822,836,F,-1.7,3.72,522.9,1384,153
4805009,Milo,Village,Alberta,4805,,91,F,122,F,F,,-25.4,64,64,F,0,49,57,F,-14,0.98,93.3,4342,377
4810026,Minburn County No. 27,Municipal district,Alberta,4810,,3188,F,3383,T,F,D,-5.8,1380,1417,T,-2.6,1184,1207,T,-1.9,2913.02,1.1,975,117
4808813,Montana 139,Indian reserve,Alberta,4808,,630,F,653,F,F,,-3.5,143,159,F,-10.1,137,153,F,-10.5,28.1,22.4,2690,245
4811068,Morinville,Town,Alberta,4811,835,9848,F,8569,F,F,,14.9,3611,3261,F,10.7,3491,3078,F,13.4,11.15,882.8,419,47
4805038,Morrin,Village,Alberta,4805,,240,F,245,F,F,,-2,132,129,F,2.3,110,112,F,-1.8,0.67,357.2,3780,305
4806028,Mountain View County,Municipal district,Alberta,4806,,13074,F,12359,F,F,,5.8,5666,5351,F,5.9,5025,4728,F,6.3,3782.64,3.5,318,35
4810061,Mundare,Town,Alberta,4810,,852,F,855,F,F,,-0.4,390,387,F,0.8,359,349,F,2.9,4.21,202.1,2300,214
4805036,Munson,Village,Alberta,4805,,192,F,204,F,F,,-5.9,89,89,F,0,82,81,F,1.2,2.53,75.9,3956,326
4810051,Myrnam,Village,Alberta,4810,,339,F,370,F,F,,-8.4,177,176,F,0.6,140,148,F,-5.4,2.79,121.4,3425,285
4813003,Nakamun Park,Summer village,Alberta,4813,,96,F,36,F,F,,166.7,148,138,F,7.2,45,18,F,150,0.45,214,4323,374
4817039,Nampa,Village,Alberta,4817,,364,F,362,F,F,,0.6,176,169,F,4.1,156,164,F,-4.9,1.71,213.2,3343,278
4803026,Nanton,Town,Alberta,4803,,2130,F,2132,F,F,,-0.1,959,957,F,0.2,922,905,F,1.9,4.87,437.4,1296,143
4802031,Newell County,Municipal district,Alberta,4802,806,7524,F,7138,T,F,D,5.4,2627,2626,T,0,2412,2354,T,2.5,5904.67,1.3,526,64
4802014,Nobleford,Village,Alberta,4802,810,1278,F,1000,F,F,,27.8,427,375,F,13.9,404,334,F,21,1.59,802.6,1814,178
4808013,Norglenwold,Summer village,Alberta,4808,831,273,F,232,F,F,,17.7,211,193,F,9.3,112,93,F,20.4,0.62,443.8,3668,297
4811007,Norris Beach,Summer village,Alberta,4811,,38,F,46,F,F,,-17.4,94,93,F,1.1,19,19,F,0,0.2,191.4,4608,399
4817076,Northern Lights County,Municipal district,Alberta,4817,,4200,F,4117,F,F,,2,1846,1655,F,11.5,1538,1527,F,0.7,20755.37,0.2,802,96
4817026,Northern Sunrise County,Municipal district,Alberta,4817,,1891,F,1791,F,F,,5.6,798,750,F,6.4,712,690,F,3.2,21150.97,0.1,1415,156
4809806,O'Chiese 203,Indian reserve,Alberta,4809,,789,F,751,F,F,,5.1,265,241,F,10,190,195,F,-2.6,140.2,5.6,2403,226
4806012,Okotoks,Town,Alberta,4806,820,28881,F,24511,F,F,,17.8,9840,8704,F,13.1,9667,8423,F,14.8,19.63,1471,155,15
4816849,Old Fort 217,Indian reserve,Alberta,4816,860,0,F,0,F,F,,,0,0,F,,0,0,F,,10.88,0,4870,416
4806034,Olds,Town,Alberta,4806,,9184,F,8235,F,F,,11.5,3942,3702,F,6.5,3698,3400,F,8.8,14.93,615.3,442,50
4813014,Onoway,Town,Alberta,4813,,1029,F,1039,F,F,,-1,374,403,F,-7.2,355,375,F,-5.3,3.32,310.3,2055,195
4817031,Opportunity No. 17,Municipal district,Alberta,4817,,3181,F,3074,F,F,,3.5,1554,1430,F,8.7,1002,974,F,2.9,29142.1,0.1,980,118
4804014,Oyen,Town,Alberta,4804,,1001,F,973,F,F,,2.9,422,418,F,1,400,383,F,4.4,5.28,189.6,2092,198
4807011,Paintearth County No. 18,Municipal district,Alberta,4807,,2102,F,2029,F,F,,3.6,696,653,F,6.6,638,615,F,3.7,3283.36,0.6,1302,144
4810038,Paradise Valley,Village,Alberta,4810,,179,F,174,F,F,,2.9,76,77,F,-1.3,73,68,F,7.4,0.63,285,4003,335
4808042,Parkland Beach,Summer village,Alberta,4808,,153,F,124,F,F,,23.4,213,168,F,26.8,68,52,F,30.8,0.95,160.7,4103,350
4811034,Parkland County,Municipal district,Alberta,4811,835,32097,F,30568,F,F,,5,12910,12150,F,6.3,11615,10931,F,6.3,2390.23,13.4,143,13
4819071,Peace No. 135,Municipal district,Alberta,4819,,1747,F,1446,T,F,C,20.8,639,578,T,10.6,578,540,T,7,847.47,2.1,1483,160
4819038,Peace River,Town,Alberta,4819,,6842,F,6729,T,F,B,1.7,2970,2891,T,2.7,2601,2588,T,0.5,26.26,260.6,572,69
4812013,Pelican Narrows,Summer village,Alberta,4812,,151,F,162,F,F,,-6.8,65,62,F,4.8,54,57,F,-5.3,0.72,208.4,4111,351
4808009,Penhold,Town,Alberta,4808,,3277,F,2375,F,F,,38,1300,925,F,40.5,1235,889,F,38.9,5.29,619.9,953,114
4802018,Picture Butte,Town,Alberta,4802,810,1810,F,1650,F,F,,9.7,706,660,F,7,672,625,F,7.5,2.85,635.1,1450,158
4811802,Pigeon Lake 138A,Indian reserve,Alberta,4811,,429,F,485,F,F,,-11.5,99,113,F,-12.4,94,102,F,-7.8,20.02,21.4,3152,268
4803801,Piikani 147,Indian reserve,Alberta,4803,,1544,F,1217,F,F,,26.9,438,415,F,5.5,400,336,F,19,430.16,3.6,1612,166
4803014,Pincher Creek,Town,Alberta,4803,,3642,F,3685,F,F,,-1.2,1589,1581,F,0.5,1490,1500,F,-0.7,10.09,361.1,893,107
4803011,Pincher Creek No. 9,Municipal district,Alberta,4803,,2965,F,3158,F,F,,-6.1,1640,1550,F,5.8,1119,1151,F,-2.8,3482.05,0.9,1028,125
4811041,Point Alison,Summer village,Alberta,4811,835,10,F,15,F,F,,-33.3,31,31,F,0,6,8,F,-25,0.16,62.7,4749,410
4808039,Ponoka,Town,Alberta,4808,,7229,F,6778,T,F,D,6.7,3301,3050,T,8.2,3010,2788,T,8,17.33,417.1,541,66
4808038,Ponoka County,Municipal district,Alberta,4808,,9806,F,8856,F,F,,10.7,4199,3669,F,14.4,3535,3172,F,11.4,2814.26,3.5,422,48
4811005,Poplar Bay,Summer village,Alberta,4811,,103,F,80,F,F,,28.8,179,184,F,-2.7,46,42,F,9.5,0.67,154,4301,372
4807002,Provost,Town,Alberta,4807,,1998,F,2041,F,F,,-2.1,843,839,F,0.5,779,777,F,0.3,4.72,423,1347,150
4807001,Provost No. 52,Municipal district,Alberta,4807,,2205,F,2288,F,F,,-3.6,930,941,F,-1.2,825,838,F,-1.6,3628.39,0.6,1266,142
4812804,Puskiakiwenin 122,Indian reserve,Alberta,4812,,531,F,484,F,F,,9.7,129,109,F,18.3,120,96,F,25,100.24,5.3,2894,255
4817097,Rainbow Lake,Town,Alberta,4817,,795,F,870,F,F,,-8.6,475,424,F,12,303,305,F,-0.7,10.76,73.9,2391,225
4815045,Ranchland No. 66,Municipal district,Alberta,4815,,92,F,79,F,F,,16.5,57,45,F,26.7,38,31,F,22.6,2638.7,0,4339,376
4802008,Raymond,Town,Alberta,4802,,3708,F,3743,F,F,,-0.9,1259,1235,F,1.9,1134,1165,F,-2.7,6.66,557.1,880,106
4808011,Red Deer,City,Alberta,4808,830,100418,F,90564,F,F,,10.9,42285,38789,F,9,39982,36346,F,10,104.73,958.8,54,3
4808001,Red Deer County,Municipal district,Alberta,4808,,19541,F,18316,T,F,D,6.7,8440,7687,T,9.8,7097,6627,T,7.1,3961.85,4.9,223,23
4801018,Redcliff,Town,Alberta,4801,805,5600,F,5588,F,F,,0.2,2232,2195,F,1.7,2159,2083,F,3.6,16.25,344.6,662,81
4811065,Redwater,Town,Alberta,4811,835,2053,F,1915,F,F,,7.2,946,844,F,12.1,862,776,F,11.1,20.03,102.5,1326,147
4808044,Rimbey,Town,Alberta,4808,,2567,F,2378,F,F,,7.9,1160,1081,F,7.3,1077,983,F,9.6,11.4,225.1,1138,133
4807028,Rochon Sands,Summer village,Alberta,4807,,86,F,65,T,F,C,32.3,152,156,T,-2.6,47,35,T,34.3,2.16,39.9,4380,379
4809015,Rocky Mountain House,Town,Alberta,4809,,6635,F,6933,F,F,,-4.3,2954,2800,F,5.5,2599,2651,F,-2,12.71,521.8,587,71
4806014,Rocky View County,Municipal district,Alberta,4806,825,39407,F,35754,T,F,D,10.2,13620,12577,T,8.3,13042,11850,T,10.1,3836.33,10.3,121,11
4805022,Rockyford,Village,Alberta,4805,,316,F,325,F,F,,-2.8,151,149,F,1.3,144,137,F,5.1,1.08,291.8,3505,289
4810003,Rosalind,Village,Alberta,4810,,188,F,190,F,F,,-1.1,95,92,F,3.3,87,77,F,13,0.62,303.1,3974,330
4802038,Rosemary,Village,Alberta,4802,806,396,F,342,F,F,,15.8,150,150,F,0,146,132,F,10.6,0.59,665.7,3241,275
4813008,Ross Haven,Summer village,Alberta,4813,,160,F,137,F,F,,16.8,215,216,F,-0.5,64,61,F,4.9,0.71,225.9,4068,342
4819056,Rycroft,Village,Alberta,4819,,612,F,628,F,F,,-2.5,316,310,F,1.9,274,280,F,-2.1,1.92,319,2723,246
4810019,Ryley,Village,Alberta,4810,,483,F,497,F,F,,-2.8,235,241,F,-2.5,208,215,F,-3.3,2.61,185.3,3004,262
4819059,Saddle Hills County,Municipal district,Alberta,4819,,2225,F,2288,F,F,,-2.8,978,973,F,0.5,838,878,F,-4.6,5838.15,0.4,1257,141
4812806,Saddle Lake 125,Indian reserve,Alberta,4812,,,T,,F,T,,,,,F,,,,F,,277.31,,,
4808811,Samson 137,Indian reserve,Alberta,4808,,3373,F,3746,F,F,,-10,878,927,F,-5.3,785,841,F,-6.7,128.14,26.3,943,112
4808812,Samson 137A,Indian reserve,Alberta,4808,,26,F,38,F,F,,-31.6,6,10,F,-40,6,10,F,-40,1.34,19.4,4665,405
4813016,Sandy Beach,Summer village,Alberta,4813,,278,F,223,F,F,,24.7,264,277,F,-4.7,126,106,F,18.9,2.4,115.9,3645,295
4817832,Sawridge 150G,Indian reserve,Alberta,4817,,20,F,48,F,F,,-58.3,31,28,F,10.7,8,24,F,-66.7,10.01,2,4694,407
4817833,Sawridge 150H,Indian reserve,Alberta,4817,,10,F,20,F,F,,-50,4,4,F,0,2,4,F,-50,13.44,0.7,4749,410
4811038,Seba Beach,Summer village,Alberta,4811,835,169,F,143,F,F,,18.2,323,338,F,-4.4,82,66,F,24.2,0.86,195.5,4040,337
4807044,Sedgewick,Town,Alberta,4807,,811,F,857,F,F,,-5.4,401,413,F,-2.9,366,381,F,-3.9,2.72,297.8,2371,224
4819014,Sexsmith,Town,Alberta,4819,,2620,F,2418,F,F,,8.4,937,848,F,10.5,873,807,F,8.2,13.24,197.9,1122,132
4805802,Siksika 146,Indian reserve,Alberta,4805,,3479,F,2972,F,F,,17.1,1131,1199,F,-5.7,947,811,F,16.8,701.96,5,918,111
4811009,Silver Beach,Summer village,Alberta,4811,,65,F,52,F,F,,25,100,93,F,7.5,31,31,F,0,0.64,101,4479,386
4813010,Silver Sands,Summer village,Alberta,4813,,160,F,85,F,F,,88.2,165,57,F,189.5,79,42,F,88.1,2.41,66.3,4068,342
4817029,Slave Lake,Town,Alberta,4817,,6651,F,6782,F,F,,-1.9,2762,2554,F,8.1,2329,2294,F,1.5,14.44,460.5,584,70
4812029,Smoky Lake,Town,Alberta,4812,,964,F,1022,F,F,,-5.7,499,478,F,4.4,421,430,F,-2.1,4.26,226.2,2144,204
4812022,Smoky Lake County,Municipal district,Alberta,4812,,4107,F,3910,F,F,,5,2248,1920,F,17.1,1556,1481,F,5.1,3412.92,1.2,815,97
4819041,Smoky River No. 130,Municipal district,Alberta,4819,,2023,F,2126,F,F,,-4.8,891,819,F,8.8,720,740,F,-2.7,2840.14,0.7,1339,149
4813055,South Baptiste,Summer village,Alberta,4813,,66,F,52,F,F,,26.9,77,74,F,4.1,30,26,F,15.4,0.93,70.9,4475,385
4813015,South View,Summer village,Alberta,4813,,67,F,35,F,F,,91.4,88,20,F,340,30,16,F,87.5,0.41,164.9,4470,384
4804004,Special Area No. 2,Special area,Alberta,4804,,1905,F,2025,F,F,,-5.9,750,745,F,0.7,648,698,F,-7.2,9347.57,0.2,1406,155
4804012,Special Area No. 3,Special area,Alberta,4804,,1042,F,1122,F,F,,-7.1,457,455,F,0.4,387,413,F,-6.3,6625.58,0.2,2041,194
4804020,Special Area No. 4,Special area,Alberta,4804,,1237,F,1352,F,F,,-8.5,471,501,F,-6,429,447,F,-4,4402.64,0.3,1843,180
4819058,Spirit River,Town,Alberta,4819,,995,F,1025,F,F,,-2.9,487,471,F,3.4,442,425,F,4,3.14,317.3,2097,199
4819054,Spirit River No. 133,Municipal district,Alberta,4819,,700,F,713,F,F,,-1.8,306,300,F,2,274,284,F,-3.5,683.6,1,2540,237
4811046,Spring Lake,Village,Alberta,4811,835,699,F,533,F,F,,31.1,303,238,F,27.3,261,208,F,25.5,2.33,300.5,2545,238
4811049,Spruce Grove,City,Alberta,4811,835,34066,F,26171,F,F,,30.2,13109,10105,F,29.7,12552,9619,F,30.5,32.2,1057.9,134,12
4811062,St. Albert,City,Alberta,4811,835,65589,F,61466,F,F,,6.7,24446,22990,F,6.3,23954,22513,F,6.4,48.45,1353.9,85,7
4812018,St. Paul,Town,Alberta,4812,,5827,F,5405,T,F,D,7.8,2378,2340,T,1.6,2248,2171,T,3.5,8.64,674.2,647,78
4812014,St. Paul County No. 19,Municipal district,Alberta,4812,,6036,F,5826,T,F,D,3.6,3562,2606,T,36.7,2334,2205,T,5.9,3309.44,1.8,626,75
4805021,Standard,Village,Alberta,4805,,353,F,379,F,F,,-6.9,150,158,F,-5.1,148,145,F,2.1,2.35,150.1,3376,279
4805031,Starland County,Municipal district,Alberta,4805,,2066,F,2057,F,F,,0.4,693,664,F,4.4,611,586,F,4.3,2559.95,0.8,1320,146
4803024,Stavely,Town,Alberta,4803,,541,F,505,F,F,,7.1,290,278,F,4.3,265,247,F,7.3,1.83,296.2,2869,252
4807026,Stettler,Town,Alberta,4807,,5952,F,5748,F,F,,3.5,2607,2536,F,2.8,2415,2350,F,2.8,13.14,453,632,76
4807019,Stettler County No. 6,Municipal district,Alberta,4807,,5322,F,5103,T,F,B,4.3,2137,1967,T,8.6,1850,1752,T,5.6,4018.84,1.3,685,85
4802009,Stirling,Village,Alberta,4802,,978,F,1090,F,F,,-10.3,375,352,F,6.5,308,327,F,-5.8,2.71,360.4,2123,202
4815802,"Stoney 142, 143, 144",Indian reserve,Alberta,4815,,3713,F,3494,F,F,,6.3,855,795,F,7.5,735,725,F,1.4,445.72,8.3,879,105
4811048,Stony Plain,Town,Alberta,4811,835,17189,F,15051,F,F,,14.2,6954,6204,F,12.1,6641,5820,F,14.1,35.72,481.2,249,26
4811804,Stony Plain 135,Indian reserve,Alberta,4811,835,1690,F,987,F,F,,71.2,576,378,F,52.4,465,225,F,106.7,51.55,32.8,1509,161
4811052,Strathcona County,Specialized municipality,Alberta,4811,835,98044,F,92490,F,F,,6,36354,34136,F,6.5,35567,33129,F,7.4,1182.78,82.9,55,4
4805018,Strathmore,Town,Alberta,4805,826,13756,F,12305,F,F,,11.8,5358,4930,F,8.7,5148,4577,F,12.5,27.4,502,300,32
4811059,Sturgeon County,Municipal district,Alberta,4811,835,20495,F,19578,F,F,,4.7,7337,6915,F,6.1,6870,6546,F,4.9,2090.13,9.8,207,20
4818816,Sturgeon Lake 154,Indian reserve,Alberta,4818,,1447,F,1162,F,F,,24.5,455,343,F,32.7,420,325,F,29.2,150.9,9.6,1682,170
