Protocol,ABMI.Site,Year,Latitude,Longitude,climatic_moisture_defecit,FFP,MAP,MAT,summer_precip
Terrestrial,OG-1082,"2,011",53.58836,-113.99479,142.268557,113,526.4917626,2.2,368.9995861
Terrestrial,OG-1090,"2,011",53.31048,-111.5831,240,115,425.8463033,1.9,300
Terrestrial,OG-1122,"2,011",53.16484,-111.91934,224.1411061,115,439,2.114110613,318
Terrestrial,OG-1160,"2,011",52.78925,-110.30211,270.4094664,115,420,1.9,282
Terrestrial,OG-1190,"2,011",52.71193,-111.23734,271.1118168,116,428,2.1,291
Terrestrial,OG-1212,"2,011",52.89084,-114.19589,125.1797529,104,536.5979854,2.5,382.8550339
Terrestrial,OG-1218,"2,011",52.6776,-112.46682,236.2193093,115.6693336,442,2.466933357,310
Terrestrial,OG-1248,"2,011",52.53428,-112.54889,240.900338,115,437.3385685,2.6,306.099662
Terrestrial,OG-1275,"2,011",52.42512,-113.10715,225.949242,112,456.9120492,2.6,321.9120492
Terrestrial,OG-1282,"2,011",52.16625,-111.17392,282.6151611,112,405.9230618,2.421974613,269
Terrestrial,OG-1283,"2,011",52.13768,-110.79642,321.243832,113.0170681,392.1205345,2.5,253
Terrestrial,OG-1331,"2,011",52.05285,-113.56522,212.409585,105,475.6215059,2.8,326.6215059
Terrestrial,OG-1334,"2,011",51.99153,-112.68545,285.9687936,111,403.0312064,2.9,279.0312064
Terrestrial,OG-1338,"2,011",51.82944,-111.51351,333.0399243,113,368.4617067,2.7,251.2179968
