Protocol,ABMI.Site,Year,Latitude,Longitude,NSRNAME,NRNAME
Terrestrial,574,2007,56.174919,-110.900429,Central Mixedwood,Boreal
Terrestrial,575,2007,56.109257,-110.594681,Central Mixedwood,Boreal
Terrestrial,576,2007,56.107594,-110.323669,Central Mixedwood,Boreal
Terrestrial,584,2007,56.645885,-117.63176,Dry Mixedwood,Boreal
Terrestrial,585,2007,56.626186,-117.39534,Dry Mixedwood,Boreal
Terrestrial,586,2007,56.55817,-117.017921,Dry Mixedwood,Boreal
Terrestrial,599,2007,56.223064,-112.856621,Central Mixedwood,Boreal
Terrestrial,600,2007,56.176392,-112.548492,Central Mixedwood,Boreal
Terrestrial,601,2007,56.145565,-112.27784,Central Mixedwood,Boreal
Terrestrial,616,2007,56.436817,-117.657349,Dry Mixedwood,Boreal
Terrestrial,617,2007,56.44331,-117.369858,Dry Mixedwood,Boreal
Terrestrial,618,2007,56.385921,-117.012878,Dry Mixedwood,Boreal
Terrestrial,631,2007,56.047466,-112.83889,Central Mixedwood,Boreal
Terrestrial,632,2007,55.979862,-112.605103,Central Mixedwood,Boreal
Terrestrial,633,2007,55.970795,-112.23922,Central Mixedwood,Boreal
Terrestrial,648,2007,56.257835,-117.671722,Dry Mixedwood,Boreal
Terrestrial,650,2007,56.229439,-117.110107,Dry Mixedwood,Boreal
Terrestrial,663,2007,55.847248,-113.027748,Central Mixedwood,Boreal
Terrestrial,664,2007,55.852993,-112.605179,Central Mixedwood,Boreal
Terrestrial,665,2007,55.799694,-112.317108,Central Mixedwood,Boreal
Terrestrial,791,2007,55.034576,-112.233109,Central Mixedwood,Boreal
Terrestrial,792,2007,55.02652,-112.013039,Central Mixedwood,Boreal
Terrestrial,793,2007,54.976463,-111.730118,Central Mixedwood,Boreal
Terrestrial,823,2007,54.883816,-112.384628,Dry Mixedwood,Boreal
Terrestrial,824,2007,54.850914,-112.009575,Dry Mixedwood,Boreal
Terrestrial,825,2007,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,855,2007,54.682022,-112.363113,Central Mixedwood,Boreal
Terrestrial,856,2007,54.657631,-112.058853,Dry Mixedwood,Boreal
Terrestrial,857,2007,54.640965,-111.759758,Central Mixedwood,Boreal
Terrestrial,314,2008,58.188782,-116.312378,Dry Mixedwood,Boreal
Terrestrial,315,2008,58.116947,-115.983871,Central Mixedwood,Boreal
Terrestrial,316,2008,58.078323,-115.619331,Central Mixedwood,Boreal
Terrestrial,343,2008,57.975288,-116.288887,Dry Mixedwood,Boreal
Terrestrial,344,2008,57.958118,-115.978279,Central Mixedwood,Boreal
Terrestrial,345,2008,57.963055,-115.693504,Central Mixedwood,Boreal
Terrestrial,373,2008,57.833443,-116.360657,Lower Boreal Highlands,Boreal
Terrestrial,374,2008,57.790741,-116.011223,Upper Boreal Highlands,Boreal
Terrestrial,375,2008,57.736629,-115.726326,Lower Boreal Highlands,Boreal
Terrestrial,412,2008,57.38126,-113.492157,Upper Boreal Highlands,Boreal
Terrestrial,413,2008,57.323273,-113.110275,Lower Boreal Highlands,Boreal
Terrestrial,414,2008,57.294983,-112.846794,Lower Boreal Highlands,Boreal
Terrestrial,442,2008,57.201565,-113.577225,Upper Boreal Highlands,Boreal
Terrestrial,443,2008,57.134647,-113.191315,Lower Boreal Highlands,Boreal
Terrestrial,444,2008,57.164497,-112.87368,Central Mixedwood,Boreal
Terrestrial,472,2008,56.993168,-113.571747,Lower Boreal Highlands,Boreal
Terrestrial,473,2008,57.02507,-113.249763,Central Mixedwood,Boreal
Terrestrial,474,2008,56.952862,-112.872215,Central Mixedwood,Boreal
Terrestrial,688,2008,55.853664,-114.960381,Central Mixedwood,Boreal
Terrestrial,689,2008,55.859657,-114.639381,Central Mixedwood,Boreal
Terrestrial,690,2008,55.789543,-114.290833,Central Mixedwood,Boreal
Terrestrial,719,2008,55.713268,-114.921829,Central Mixedwood,Boreal
Terrestrial,720,2008,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,750,2008,55.518154,-114.964775,Central Mixedwood,Boreal
Terrestrial,866,2008,55.065437,-118.975967,Dry Mixedwood,Boreal
Terrestrial,867,2008,55.093342,-118.651749,Dry Mixedwood,Boreal
Terrestrial,868,2008,55.059719,-118.335739,Dry Mixedwood,Boreal
Terrestrial,899,2008,54.89819,-118.988976,Central Mixedwood,Boreal
Terrestrial,900,2008,54.854778,-118.700951,Central Mixedwood,Boreal
Terrestrial,901,2008,54.889511,-118.296112,Central Mixedwood,Boreal
Terrestrial,1009,2008,54.115536,-115.737389,Central Mixedwood,Boreal
Terrestrial,1085,2008,53.485844,-113.120331,Dry Mixedwood,Boreal
Terrestrial,1354,2008,52.060474,-114.732391,Dry Mixedwood,Boreal
Terrestrial,1355,2008,51.966812,-114.440094,Dry Mixedwood,Boreal
Terrestrial,1380,2008,51.793423,-114.455902,Dry Mixedwood,Boreal
Terrestrial,1404,2008,51.628845,-114.555679,Dry Mixedwood,Boreal
Terrestrial,3,2009,59.94268,-111.849083,Northern Mixedwood,Boreal
Terrestrial,13,2009,59.869965,-112.579437,Northern Mixedwood,Boreal
Terrestrial,14,2009,59.796967,-112.230896,Northern Mixedwood,Boreal
Terrestrial,15,2009,59.783936,-111.907753,Northern Mixedwood,Boreal
Terrestrial,32,2009,59.677498,-112.604416,Northern Mixedwood,Boreal
Terrestrial,33,2009,59.646675,-112.275978,Northern Mixedwood,Boreal
Terrestrial,34,2009,59.56572,-111.939857,Northern Mixedwood,Boreal
Terrestrial,497,2009,57.023487,-115.629578,Central Mixedwood,Boreal
Terrestrial,498,2009,57.003262,-115.287514,Central Mixedwood,Boreal
Terrestrial,499,2009,56.986378,-114.944817,Central Mixedwood,Boreal
Terrestrial,506,2009,56.732479,-112.732773,Central Mixedwood,Boreal
Terrestrial,507,2009,56.703514,-112.361649,Central Mixedwood,Boreal
Terrestrial,508,2009,56.682861,-112.014778,Central Mixedwood,Boreal
Terrestrial,528,2009,56.86496,-115.657036,Lower Boreal Highlands,Boreal
Terrestrial,529,2009,56.837563,-115.344734,Central Mixedwood,Boreal
Terrestrial,530,2009,56.777458,-115.052505,Central Mixedwood,Boreal
Terrestrial,537,2009,56.588074,-112.776077,Central Mixedwood,Boreal
Terrestrial,538,2009,56.549435,-112.45282,Central Mixedwood,Boreal
Terrestrial,539,2009,56.50687,-112.16037,Central Mixedwood,Boreal
Terrestrial,559,2009,56.670578,-115.698334,Central Mixedwood,Boreal
Terrestrial,560,2009,56.651146,-115.323715,Central Mixedwood,Boreal
Terrestrial,561,2009,56.634964,-115.017265,Central Mixedwood,Boreal
Terrestrial,568,2009,56.398125,-112.719238,Central Mixedwood,Boreal
Terrestrial,569,2009,56.329151,-112.424896,Central Mixedwood,Boreal
Terrestrial,570,2009,56.333176,-112.122169,Central Mixedwood,Boreal
Terrestrial,697,2009,55.559921,-112.072166,Lower Boreal Highlands,Boreal
Terrestrial,698,2009,55.547825,-111.749794,Lower Boreal Highlands,Boreal
Terrestrial,699,2009,55.497818,-111.417191,Central Mixedwood,Boreal
Terrestrial,728,2009,55.374165,-112.146545,Lower Boreal Highlands,Boreal
Terrestrial,729,2009,55.386623,-111.827736,Lower Boreal Highlands,Boreal
Terrestrial,730,2009,55.308971,-111.497162,Central Mixedwood,Boreal
Terrestrial,759,2009,55.248493,-112.251076,Central Mixedwood,Boreal
Terrestrial,760,2009,55.164566,-111.923866,Central Mixedwood,Boreal
Terrestrial,761,2009,55.156345,-111.656158,Central Mixedwood,Boreal
Terrestrial,881,2009,54.708691,-114.23317,Central Mixedwood,Boreal
Terrestrial,882,2009,54.677731,-114.044724,Central Mixedwood,Boreal
Terrestrial,883,2009,54.669357,-113.595978,Central Mixedwood,Boreal
Terrestrial,914,2009,54.531624,-114.361832,Central Mixedwood,Boreal
Terrestrial,915,2009,54.49514,-113.989128,Dry Mixedwood,Boreal
Terrestrial,916,2009,54.491386,-113.665222,Dry Mixedwood,Boreal
Terrestrial,947,2009,54.345501,-114.447365,Dry Mixedwood,Boreal
Terrestrial,948,2009,54.330906,-114.030411,Dry Mixedwood,Boreal
Terrestrial,949,2009,54.293087,-113.779305,Dry Mixedwood,Boreal
Terrestrial,149,2010,58.861977,-111.826012,Peace-Athabasca Delta,Boreal
Terrestrial,151,2010,58.768562,-111.240944,Peace-Athabasca Delta,Boreal
Terrestrial,178,2010,58.662365,-111.971893,Peace-Athabasca Delta,Boreal
Terrestrial,179,2010,58.667915,-111.615341,Peace-Athabasca Delta,Boreal
